x,y
28,127
29,126
30,126
31,125
32,124
33,124
34,123
35,123
36,123
37,122
38,122
39,122
40,121
41,120
42,119
43,118
44,118
45,117
46,116
47,115
48,114
49,112
50,111
51,110
52,109
53,108
54,107
55,105
56,105
57,104
58,102
59,102
60,101
61,100
62,99
63,98
64,96
65,94
66,92
67,91
68,90
69,89
70,89
71,87
72,85
73,83
74,82
75,80
76,79
77,76
78,74
79,72
80,72
81,70
82,69
83,67
84,65
85,62
86,60
87,58
88,57
89,55
90,52
91,50
92,49
93,47
94,43
95,41
96,39
97,37
98,34
99,34
100,34
101,34
102,34
103,34
104,34
105,34
106,35
107,35
108,37
109,40
110,44
111,46
112,47
113,47
114,48
115,48
116,49
117,50
118,50
119,51
120,52
121,53
122,56
123,58
124,58
125,58
126,58
127,58
128,58
129,58
130,59
131,59
132,63
133,65
134,66
135,68
136,69
137,71
138,73
139,75
140,76
141,77
142,79
143,81
144,82
145,84
146,86
147,88
148,90
149,93
150,95
151,97
152,99
153,100
154,101
155,102
156,103
157,103
158,105
159,107
160,108
161,110
162,111
163,112
164,113
165,114
166,115
167,116
168,117
169,117
170,119
171,120
172,121
173,121
174,121
175,121
176,122
177,122
178,122
179,123
180,123
181,123
182,123
183,123
184,123
185,124
186,123
187,123
188,123
189,123
190,123
191,123
192,122
193,122
194,121
195,121
196,120
197,119
198,119
199,118
200,118
201,118
202,117
203,117
204,116
205,115
206,115
207,114
208,113
209,113
210,111
211,109
212,108
213,107
214,106
215,105
216,104
217,103
218,102
219,101
220,101
221,100
222,99
223,96
224,95
225,94
226,93
227,92
228,91
229,89
230,87
231,85
232,84
233,83
234,82
235,80
236,78
237,77
238,76
239,74
240,72
241,71
242,69
243,67
244,64
245,62
246,61
247,59
248,58
249,56
250,52
251,50
252,48
253,45
254,43
255,41
256,40
257,38
258,37
259,35
260,33
261,33
262,32
263,32
264,32
265,31
266,32
267,32
268,32
269,33
270,34
271,35
272,40
273,42
274,44
275,45
276,46
277,47
278,48
279,48
280,49
281,50
282,50
283,51
284,51
285,51
286,52
287,53
288,54
289,55
290,56
291,56
292,56
293,56
294,56
295,56
296,56
297,56
298,56
299,59
300,65
301,66
302,68
303,69
304,71
305,72
306,75
307,77
308,79
309,80
310,82
311,85
312,87
313,90
314,91
315,92
316,94
317,95
318,97
319,98
320,98
321,99
322,101
323,102
324,103
325,104
326,106
327,106
328,108
329,109
330,110
331,111
332,112
333,113
334,114
335,115
336,116
337,117
338,118
339,118
340,119
341,119
342,119
343,120
344,120
345,121
346,121
347,121
348,122
349,122
350,121
351,121
352,121
353,120
354,120
355,119
356,119
357,118
358,117
359,117
360,116
361,115
362,114
363,113
364,113
365,112
366,111
367,111
368,110
369,109
370,108
371,107
372,106
373,105
374,104
375,103
376,102
377,101
378,100
379,99
380,98
381,97
382,95
383,95
384,94
385,93
386,92
387,91
388,90
389,88
390,86
391,85
392,83
393,82
394,80
395,79
396,78
397,76
398,75
399,74
400,72
401,69
402,67
403,65
404,64
405,62
406,60
407,58
408,57
409,56
410,54
411,52
412,49
413,47
414,45
415,44
416,42
417,40
418,36
419,35
420,34
421,33
422,32
423,30
424,29
425,28
426,29
427,31
428,32
429,34
430,37
431,38
432,42
433,43
434,44
435,45
436,45
437,46
438,47
439,47
440,48
441,48
442,48
443,48
444,49
445,49
446,51
447,58
448,59
449,59
450,59
451,59
452,59
453,59
454,59
455,59
456,62
457,69
458,71
459,72
460,73
461,73
462,74
463,75
464,77
465,78
466,80
467,82
468,83
469,85
470,87
471,88
472,89
473,92
474,96
475,97
476,99
477,100
478,101
479,101
480,103
481,104
