x,y
0,107
1,109
2,110
3,111
4,111
5,112
6,113
7,113
8,113
9,114
10,114
11,115
12,116
13,116
14,117
15,117
16,118
17,118
18,118
19,119
20,119
21,120
22,121
23,121
24,122
25,123
26,123
27,123
28,124
29,124
30,124
31,124
32,125
33,125
34,125
35,125
36,125
37,125
38,125
39,125
40,125
41,125
42,125
43,125
44,125
45,125
46,125
47,125
48,125
49,125
50,125
51,125
52,125
53,125
54,124
55,124
56,124
57,124
58,123
59,123
60,122
61,122
62,121
63,121
64,121
65,120
66,119
67,119
68,118
69,117
70,117
71,116
72,116
73,116
74,115
75,114
76,114
77,114
78,113
79,112
80,112
81,111
82,110
83,109
84,109
85,108
86,108
87,106
88,106
89,105
90,104
91,103
92,101
93,100
94,97
95,95
96,93
97,92
98,92
99,91
100,90
101,88
102,85
103,84
104,82
105,80
106,79
107,78
108,76
109,75
110,74
111,73
112,72
113,71
114,70
115,69
116,68
117,67
118,66
119,65
120,63
121,62
122,59
123,57
124,55
125,41
126,41
127,40
128,40
129,41
130,41
131,41
132,42
133,43
134,43
135,44
136,44
137,45
138,45
139,47
140,48
141,48
142,50
143,50
144,51
145,53
146,53
147,54
148,54
149,54
150,55
151,56
152,56
153,57
154,57
155,58
156,59
157,59
158,59
159,60
160,61
161,61
162,62
163,63
164,64
165,66
166,68
167,69
168,70
169,70
170,71
171,71
172,71
173,72
174,72
175,72
176,71
177,72
178,72
179,71
180,71
181,71
182,72
183,71
184,72
185,72
186,73
187,75
188,78
189,81
190,82
191,83
192,86
193,88
194,89
195,89
196,90
197,91
198,91
199,92
200,93
201,94
202,94
203,95
204,96
205,97
206,98
207,98
208,99
209,101
210,102
211,103
212,104
213,105
214,106
215,108
216,109
217,110
218,111
219,112
220,113
221,114
222,115
223,116
224,116
225,117
226,117
227,118
228,119
229,120
230,120
231,120
232,121
233,122
234,123
235,124
236,125
237,125
238,125
239,126
240,126
241,127
242,127
243,127
244,128
245,128
246,128
247,128
248,128
249,129
250,129
251,129
252,130
253,130
254,130
255,130
256,131
257,131
258,131
259,131
260,130
261,130
262,129
263,129
264,129
265,129
266,128
267,128
268,128
269,128
270,127
271,127
272,127
273,126
274,125
275,124
276,124
277,124
278,123
279,122
280,122
281,121
282,121
283,121
284,120
285,120
286,119
287,118
288,118
289,117
290,117
291,116
292,115
293,115
294,114
295,113
296,113
297,112
298,111
299,111
300,110
301,109
302,108
303,107
304,105
305,103
306,102
307,101
308,101
309,99
310,99
311,97
312,96
313,95
314,94
315,93
316,92
317,91
318,89
319,89
320,88
321,87
322,86
323,84
324,83
325,82
326,81
327,80
328,79
329,77
330,76
331,73
332,72
333,71
334,69
335,68
336,67
337,65
338,62
339,60
340,60
341,58
342,57
343,56
344,54
345,52
346,51
347,50
348,48
349,47
350,46
351,46
352,46
353,46
354,46
355,46
356,47
357,47
358,47
359,48
360,49
361,49
362,50
363,50
364,51
365,51
366,52
367,52
368,53
369,53
370,54
371,55
372,55
373,55
374,56
375,56
376,57
377,58
378,59
379,60
380,61
381,62
382,63
383,64
384,65
385,66
386,68
387,68
388,69
389,70
390,71
391,72
392,73
393,74
394,75
395,75
396,75
397,75
398,76
399,76
400,75
401,75
402,75
403,75
404,75
405,76
406,76
407,76
408,76
409,76
410,77
411,79
412,80
413,82
414,84
415,85
416,86
417,86
418,87
419,89
420,90
421,91
422,92
423,93
424,94
425,95
426,96
427,97
428,97
429,98
430,98
431,99
432,100
433,100
434,102
435,104
436,105
437,107
438,108
439,109
440,110
441,112
442,113
443,114
444,114
445,115
446,115
447,115
448,116
449,117
450,117
451,118
452,119
453,120
454,120
455,121
456,122
457,123
458,124
459,124
460,124
461,125
462,126
463,126
464,127
465,127
466,128
467,128
468,129
469,129
470,129
471,129
472,129
473,129
474,129
475,130
476,130
477,130
478,130
479,130
480,130
481,131
482,131
483,131
484,131
485,131
486,131
487,130
488,130
489,131
490,131
491,131
492,130
493,130
494,130
495,130
496,130
497,129
498,128
499,128
500,128
501,127
502,126
503,126
504,126
505,125
506,125
507,125
508,124
509,124
510,123
511,123
512,122
513,121
514,120
515,120
516,119
517,118
518,116
519,116
520,115
521,114
522,113
523,113
524,112
525,111
526,111
527,110
528,109
529,108
530,108
531,107
532,106
533,105
534,104
535,103
536,103
537,102
538,100
539,99
540,98
541,97
542,96
543,95
544,94
545,93
546,93
547,92
548,90
549,89
550,87
551,86
552,85
553,83
554,82
555,81
556,80
557,79
558,78
559,76
560,74
561,73
562,71
563,70
564,68
565,66
566,65
567,63
568,61
569,54
570,49
571,48
572,47
573,47
574,47
575,48
576,48
