x,y
15,158
16,159
17,158
18,158
19,158
20,157
21,155
22,154
23,150
24,148
25,144
26,139
27,134
28,130
29,127
30,124
31,122
32,119
33,116
34,110
35,104
36,98
37,94
38,93
39,88
40,85
41,82
42,79
43,76
44,74
45,70
46,68
47,66
48,63
49,61
50,58
51,55
52,53
53,51
54,50
55,49
56,47
57,45
58,44
59,43
60,41
61,39
62,38
63,36
64,35
65,34
66,32
67,31
68,30
69,29
70,28
71,27
72,26
73,24
74,23
75,22
76,22
77,21
78,20
79,19
80,18
81,18
82,17
83,16
84,15
85,15
86,14
87,14
88,14
89,14
90,14
91,14
92,14
93,14
94,14
95,14
96,14
97,14
98,14
99,14
100,14
101,14
102,14
103,15
104,15
105,15
106,16
107,16
108,17
109,17
110,18
111,18
112,19
113,19
114,20
115,21
116,22
117,23
118,24
119,25
120,26
121,28
122,29
123,30
124,32
125,34
126,35
127,36
128,38
129,40
130,41
131,43
132,45
133,46
134,48
135,50
136,52
137,54
138,55
139,57
140,59
141,61
142,63
143,64
144,68
145,69
146,71
147,73
148,74
149,75
150,76
151,78
152,82
153,84
154,87
155,88
156,92
157,93
158,95
159,97
160,99
161,103
162,105
163,107
164,109
165,112
166,113
167,116
168,118
169,120
170,122
171,123
172,125
173,125
174,127
175,129
176,131
177,132
178,134
179,135
180,136
181,137
182,139
183,140
184,141
185,143
186,144
187,145
188,146
189,147
190,148
191,149
192,151
193,151
194,152
195,152
196,153
197,154
198,154
199,155
200,156
201,156
202,157
203,157
204,157
205,158
206,158
207,158
208,159
209,159
210,160
211,160
212,161
213,161
214,161
215,161
216,161
217,161
218,162
219,162
220,163
221,163
222,163
223,163
224,163
225,163
226,163
227,163
228,163
229,163
230,163
231,163
232,163
233,163
234,163
235,163
236,163
237,163
238,162
239,162
240,162
241,161
242,161
243,161
244,161
245,160
246,160
247,159
248,159
249,158
250,157
251,157
252,156
253,155
254,154
255,153
256,152
257,151
258,151
259,150
260,149
261,148
262,148
263,147
264,145
265,145
266,143
267,142
268,142
269,141
270,140
271,138
272,137
273,136
274,134
275,133
276,132
277,131
278,130
279,128
280,127
281,126
282,125
283,124
284,123
285,119
286,117
287,113
288,112
289,108
290,104
291,102
292,101
293,97
294,93
295,90
296,86
297,85
298,81
299,78
300,73
301,70
302,66
303,64
304,62
305,61
306,59
307,58
308,56
309,52
310,49
311,46
312,45
313,43
314,42
315,41
316,39
317,37
318,35
319,34
320,33
321,32
322,31
323,30
324,28
325,27
326,27
327,26
328,25
329,24
330,24
331,23
332,23
333,23
334,22
335,21
336,20
337,20
338,19
339,19
340,18
341,18
342,17
343,16
344,16
345,15
346,14
347,14
348,13
349,13
350,12
351,12
352,12
353,13
354,13
355,13
356,13
357,13
358,12
359,12
360,12
361,12
362,12
363,12
364,12
365,12
366,12
367,12
368,12
369,13
370,13
371,14
372,15
373,15
374,16
375,16
376,16
377,17
378,18
379,18
380,19
381,19
382,20
383,20
384,21
385,21
386,22
387,22
388,23
389,24
390,24
391,25
392,25
393,26
394,27
395,28
396,29
397,30
398,30
399,31
400,33
401,34
402,36
403,37
404,38
405,40
406,41
407,43
408,44
409,46
410,48
411,50
412,51
413,53
414,55
415,56
416,58
417,60
418,62
419,63
420,64
421,66
422,67
423,68
424,70
425,72
426,74
427,75
428,77
429,80
430,81
431,83
432,86
433,88
434,90
435,92
436,94
437,96
438,99
439,101
440,102
441,105
442,107
443,108
444,110
445,112
446,114
447,116
448,117
449,118
450,120
451,122
452,123
453,124
454,127
455,129
456,131
457,133
458,135
459,136
460,137
461,138
462,139
463,142
464,144
465,145
466,146
467,147
468,148
469,149
470,149
471,150
472,150
473,151
474,152
475,153
476,153
477,153
478,154
479,154
480,155
481,155
482,155
483,156
484,156
485,156
486,157
487,157
488,158
489,158
490,159
491,159
492,159
493,159
494,160
495,160
496,160
497,161
498,161
499,161
500,161
501,161
502,162
503,162
504,162
505,162
506,162
507,162
508,162
509,162
510,162
511,162
512,162
513,162
514,162
515,162
516,162
517,162
518,162
519,162
520,161
521,161
522,161
523,161
524,161
525,160
526,160
527,160
528,159
529,159
530,158
531,158
532,157
533,157
534,156
535,155
536,154
537,154
538,153
539,152
540,151
541,150
542,149
543,148
544,147
545,147
546,145
547,144
548,143
549,142
550,141
551,139
552,137
553,136
554,134
555,132
556,131
557,129
558,126
559,124
560,122
561,119
562,117
563,113
564,110
565,107
566,104
567,102
568,99
569,97
570,94
571,91
572,88
573,85
574,83
575,80
576,78
577,77
578,74
579,72
580,68
581,67
582,64
583,62
584,60
585,57
586,53
587,50
588,49
589,47
590,45
591,43
592,41
593,40
594,38
595,36
596,35
597,33
598,31
599,30
600,29
601,28
602,28
603,27
604,26
605,25
606,25
607,24
608,23
609,23
610,22
611,22
612,21
613,21
614,20
615,20
616,20
617,19
618,19
619,19
620,19
621,18
622,18
623,18
624,18
625,18
626,18
627,18
628,18
629,18
630,18
631,18
632,18
633,18
634,18
635,18
636,19
637,19
638,19
639,19
640,19
641,19
642,20
643,20
644,20
645,20
646,21
647,21
648,21
649,21
650,22
651,22
652,22
653,23
654,23
655,24
656,25
657,25
658,26
659,27
660,28
661,29
662,30
663,31
664,32
665,34
666,35
667,37
668,39
669,40
670,41
671,43
672,45
673,47
674,49
675,51
676,53
677,54
678,57
679,59
680,61
681,63
682,66
683,68
684,70
685,71
686,73
687,76
688,78
689,80
690,82
691,85
692,87
693,90
694,91
695,94
696,96
697,98
698,101
699,104
700,106
701,108
702,110
703,112
704,114
705,116
706,118
707,120
708,121
709,123
710,124
711,125
712,126
713,127
714,128
715,130
716,131
717,132
718,132
719,133
720,134
721,135
722,136
723,137
724,138
725,138
726,139
727,140
728,141
729,142
730,143
731,143
732,144
733,145
734,145
735,146
736,147
737,148
738,149
739,149
740,150
741,150
742,151
743,151
744,151
745,152
746,152
747,153
748,153
749,153
750,154
751,154
752,155
753,155
754,155
755,156
756,156
757,157
758,157
759,157
760,158
761,158
762,159
763,159
764,160
765,160
766,161
767,161
768,162
769,162
770,162
771,163
772,163
773,163
774,164
775,164
776,164
777,164
778,164
779,164
780,165
781,165
782,165
783,165
784,165
785,165
786,165
787,165
788,165
789,165
790,165
791,165
792,165
793,165
794,165
795,165
796,165
797,164
798,163
799,163
800,162
801,162
802,161
803,161
804,161
805,160
806,160
