x,y
10,94
11,93
12,93
13,93
14,94
15,93
16,93
17,93
18,93
19,93
20,93
21,92
22,92
23,92
24,92
25,92
26,92
27,92
28,92
29,91
30,91
31,90
32,90
33,90
34,89
35,88
36,88
37,88
38,87
39,87
40,86
41,86
42,85
43,85
44,84
45,83
46,82
47,82
48,81
49,80
50,79
51,79
52,78
53,77
54,77
55,76
56,76
57,75
58,73
59,72
60,72
61,70
62,69
63,68
64,67
65,66
66,66
67,65
68,64
69,63
70,62
71,61
72,59
73,57
74,56
75,55
76,53
77,52
78,50
79,49
80,47
81,45
82,43
83,42
84,41
85,39
86,38
87,37
88,36
89,34
90,32
91,32
92,32
93,33
94,34
95,35
96,37
97,38
98,39
99,41
100,42
101,43
102,44
103,45
104,45
105,46
106,46
107,48
108,51
109,52
110,53
111,53
112,53
113,53
114,53
115,52
116,52
117,52
118,52
119,53
120,54
121,55
122,56
123,57
124,58
125,59
126,60
127,61
128,62
129,64
130,65
131,66
132,67
133,69
134,70
135,71
136,73
137,74
138,74
139,75
140,76
141,77
142,78
143,79
144,79
145,79
146,81
147,81
148,82
149,82
150,82
151,82
152,83
153,84
154,85
155,85
156,85
157,85
158,86
159,86
160,87
161,87
162,87
163,87
164,88
165,88
166,88
167,88
168,88
169,88
170,88
171,88
172,88
173,88
174,89
175,89
176,89
177,89
178,89
179,88
180,88
181,88
182,88
183,88
184,88
185,88
186,88
187,88
188,88
189,88
190,88
191,87
192,87
193,86
194,86
195,86
196,86
197,85
198,85
199,84
200,83
201,83
202,82
203,81
204,81
205,81
206,80
207,79
208,79
209,78
210,78
211,77
212,76
213,75
214,74
215,74
216,73
217,73
218,72
219,71
220,70
221,69
222,68
223,67
224,65
225,64
226,64
227,62
228,61
229,59
230,57
231,56
232,54
233,52
234,51
235,50
236,48
237,45
238,43
239,42
240,41
241,39
242,38
243,38
244,37
245,36
246,34
247,34
248,34
249,34
250,35
251,37
252,39
253,41
254,42
255,42
256,42
257,43
258,43
259,43
260,43
261,43
262,44
263,45
264,47
265,50
266,52
267,53
268,54
269,54
270,56
271,57
272,58
273,59
274,60
275,61
276,62
277,63
278,64
279,65
280,66
281,67
282,69
283,70
284,71
285,72
286,73
287,73
288,74
289,75
290,75
291,76
292,76
293,77
294,78
295,78
296,79
297,79
298,80
299,80
300,81
301,81
302,81
303,81
304,81
305,82
306,82
307,82
308,82
309,82
310,82
311,82
312,81
313,81
314,82
