x,y
2,82
3,82
4,82
5,83
6,82
7,83
8,83
9,84
10,84
11,85
12,85
13,86
14,86
15,87
16,87
17,87
18,87
19,87
20,86
21,86
22,86
23,85
24,85
25,85
26,84
27,83
28,82
29,81
30,80
31,78
32,77
33,76
34,75
35,74
36,72
37,71
38,70
39,68
40,66
41,64
42,62
43,60
44,58
45,56
46,55
47,54
48,52
49,50
50,44
51,43
52,41
53,38
54,32
55,31
56,29
57,29
58,29
59,30
60,32
61,33
62,34
63,36
64,40
65,41
66,42
67,43
68,45
69,48
70,59
71,60
72,61
73,63
74,64
75,65
76,65
77,66
78,67
79,68
80,69
81,72
82,80
83,83
84,84
85,85
86,87
87,88
88,88
89,88
90,88
91,89
92,89
93,89
94,88
95,88
96,88
97,87
98,87
99,86
100,85
101,85
102,84
103,84
104,83
105,82
106,81
107,79
108,77
109,75
110,74
111,73
112,71
113,69
114,67
115,65
116,63
117,61
118,59
119,57
120,51
121,49
122,47
123,47
124,45
125,42
126,37
127,35
128,33
129,27
130,26
131,27
132,28
133,30
134,32
135,34
136,34
137,36
138,42
139,43
140,44
141,45
142,53
143,58
144,61
145,62
146,63
147,64
148,64
149,65
150,66
151,67
152,69
153,74
154,77
155,79
156,80
157,81
158,83
159,84
160,85
161,85
162,87
163,87
164,87
165,87
166,87
167,87
168,87
169,87
170,87
171,87
172,87
173,86
174,85
175,85
176,84
177,83
178,81
179,80
180,80
181,79
182,78
183,76
184,75
185,73
186,72
187,70
188,68
189,67
190,65
191,63
192,61
193,58
194,57
195,55
196,53
197,50
198,48
199,46
200,44
201,41
202,37
203,33
204,29
205,27
206,26
207,27
208,28
209,28
210,29
211,30
212,32
213,34
214,35
215,42
216,43
217,44
218,45
219,46
220,47
221,55
222,60
223,61
224,61
225,62
226,64
227,65
228,65
229,66
230,67
231,68
232,68
233,71
234,82
235,84
236,84
237,85
238,87
239,88
240,88
241,89
242,90
243,91
244,91
245,91
246,91
247,92
248,92
249,91
250,91
251,91
252,91
253,91
254,90
255,89
256,89
257,88
258,87
259,86
260,85
261,84
262,83
263,81
264,80
265,79
266,78
267,76
268,73
269,71
270,69
271,67
272,61
273,59
274,56
275,54
276,52
277,50
278,48
279,45
280,42
281,36
282,28
283,28
284,28
285,29
286,30
287,32
288,33
289,35
290,40
291,41
292,42
293,42
294,43
295,44
296,54
297,60
298,61
299,62
300,62
301,64
302,65
303,66
304,66
305,68
306,69
307,71
308,75
309,79
310,83
311,85
312,86
313,87
314,88
315,89
316,89
317,89
318,90
319,91
320,91
321,91
322,92
323,92
324,92
325,91
326,91
327,91
328,91
329,90
330,90
331,89
332,89
333,88
334,87
335,86
336,85
337,85
338,84
339,81
340,79
341,78
342,76
343,74
344,72
345,70
346,67
347,64
348,61
349,58
350,56
351,54
352,52
353,49
354,47
355,46
356,44
357,35
358,32
359,27
360,27
361,27
362,27
363,27
364,30
365,31
366,33
367,39
368,40
369,41
370,41
371,42
372,42
373,42
374,43
375,44
376,47
377,48
378,47
379,48
380,49
381,53
382,57
383,60
384,61
385,62
386,64
387,65
388,67
389,68
390,70
391,75
392,76
393,77
394,78
395,82
396,84
397,86
398,87
399,88
400,89
401,90
402,90
403,91
404,92
405,92
406,92
407,92
408,92
409,92
410,92
411,91
412,90
413,89
414,89
415,87
416,87
417,85
418,84
419,82
420,79
421,77
422,75
423,71
424,68
425,65
426,56
427,54
428,52
429,51
430,50
431,49
432,48
433,47
434,45
435,43
436,42
437,34
438,35
439,36
440,39
441,40
442,41
443,41
444,42
445,43
446,43
447,46
448,51
449,61
450,64
451,65
452,66
453,68
454,69
455,70
456,70
457,71
458,72
459,73
460,74
461,76
462,83
463,86
464,88
465,89
466,90
467,91
468,92
469,93
470,94
471,94
472,94
473,94
474,94
475,94
476,94
477,94
