x,y
20,99
21,99
22,99
23,99
24,99
25,99
26,99
27,99
28,99
29,99
30,99
31,99
32,99
33,99
34,99
35,99
36,99
37,99
38,99
39,98
40,98
41,97
42,97
43,97
44,96
45,96
46,96
47,95
48,95
49,95
50,94
51,93
52,92
53,90
54,89
55,88
56,87
57,86
58,86
59,85
60,84
61,84
62,82
63,80
64,79
65,78
66,76
67,71
68,69
69,69
70,64
71,57
72,55
73,53
74,51
75,50
76,49
77,47
78,47
79,46
80,46
81,44
82,42
83,41
84,41
85,40
86,38
87,36
88,30
89,20
90,19
91,19
92,19
93,19
94,19
95,19
96,19
97,20
98,20
99,20
100,20
101,20
102,20
103,20
104,20
105,20
106,20
107,20
108,20
109,20
110,20
111,20
112,20
113,20
114,20
115,20
116,20
117,20
118,20
119,20
120,27
121,30
122,32
123,32
124,33
125,34
126,35
127,42
128,45
129,46
130,48
131,51
132,55
133,64
134,71
135,71
136,72
137,74
138,75
139,76
140,77
141,78
142,78
143,80
144,82
145,84
146,85
147,86
148,88
149,89
150,91
151,92
152,92
153,93
154,93
155,94
156,94
157,94
158,95
159,96
160,96
161,96
162,96
163,97
164,97
165,97
166,97
167,97
168,97
169,97
170,97
171,97
172,97
173,97
174,96
175,96
176,96
177,95
178,95
179,94
180,94
181,93
182,93
183,92
184,92
185,92
186,91
187,91
188,90
189,89
190,89
191,88
192,88
193,88
194,87
195,87
196,86
197,85
198,85
199,84
200,84
201,83
202,83
203,82
204,81
205,80
206,79
207,78
208,77
209,75
210,74
211,73
212,72
213,70
214,68
215,67
216,66
217,65
218,63
219,62
220,50
221,48
222,45
223,42
224,40
225,39
226,39
227,37
228,35
229,32
230,31
231,29
232,27
233,24
234,23
235,20
236,20
237,19
238,20
239,19
240,19
241,19
242,19
243,19
244,19
245,19
246,19
247,19
248,19
249,19
250,19
251,19
252,19
253,19
254,19
255,19
256,19
257,19
258,19
259,19
260,19
261,19
262,19
263,19
264,19
265,18
266,19
267,28
268,29
269,30
270,30
271,31
272,32
273,33
274,33
275,34
276,38
277,42
278,47
279,50
280,53
281,59
282,66
283,67
284,68
285,68
286,70
287,71
288,72
289,73
290,74
291,75
292,76
293,77
294,79
295,82
296,85
297,87
298,89
299,89
300,90
301,91
302,92
303,92
304,93
305,94
306,95
307,95
308,95
309,95
310,95
311,95
312,95
313,95
314,95
315,95
316,95
317,96
318,96
319,96
320,96
321,96
322,96
323,96
324,95
325,95
326,95
327,95
328,94
329,94
330,94
331,93
332,93
333,92
334,92
335,91
336,90
337,90
338,89
339,89
340,88
341,87
342,87
343,86
344,85
345,84
346,83
347,83
348,81
349,81
350,80
351,79
352,78
353,77
354,76
355,74
356,71
357,70
358,69
359,67
360,66
361,62
362,60
363,58
364,56
365,47
366,46
367,45
368,44
369,43
370,43
371,42
372,42
373,41
374,40
375,38
376,37
377,35
378,33
379,31
380,26
381,23
382,20
383,20
384,19
385,19
386,19
387,19
388,19
389,19
390,19
391,19
392,19
393,19
394,19
395,19
396,19
397,19
398,19
399,19
400,19
401,19
402,19
403,19
404,19
405,19
406,19
407,19
408,19
409,19
410,19
411,19
412,25
413,28
414,28
415,29
416,30
417,30
418,31
419,32
420,32
421,33
422,33
423,35
424,47
425,49
426,57
427,61
428,67
429,71
430,72
431,73
432,74
433,75
434,76
435,77
436,79
437,80
438,83
439,85
440,86
441,87
442,88
443,89
444,90
445,91
446,92
447,93
448,93
449,94
450,94
451,94
452,95
453,95
454,95
455,95
456,95
457,95
458,95
459,96
460,96
461,96
462,96
463,96
464,96
465,96
466,96
467,96
468,96
469,96
470,96
471,96
472,96
473,96
474,96
475,96
476,95
477,95
478,95
479,95
480,95
481,95
482,94
483,94
484,93
485,92
486,91
487,91
488,90
489,89
490,89
491,88
492,87
493,87
494,84
495,83
496,79
497,78
498,78
499,77
500,75
501,73
502,71
503,70
504,69
505,65
506,61
507,55
508,49
509,48
510,47
511,46
512,45
513,45
514,44
515,43
516,42
517,42
518,41
519,41
520,39
521,36
522,35
523,34
524,33
525,32
526,28
527,19
528,19
529,19
530,19
531,19
532,19
533,19
534,19
535,19
536,19
537,19
538,19
539,19
540,19
541,19
542,19
543,19
544,19
545,19
546,19
547,19
548,19
549,19
550,19
551,19
552,19
553,19
554,19
555,19
556,19
557,22
558,26
559,27
560,28
561,29
562,29
563,31
564,41
565,44
566,45
567,47
568,48
569,51
570,54
571,58
572,63
573,69
574,70
575,71
576,71
577,72
578,74
579,76
580,78
581,79
582,81
583,83
584,84
585,86
586,86
587,87
588,88
589,88
590,88
591,89
592,90
593,91
594,92
595,93
596,95
597,95
598,95
599,96
600,96
601,96
602,96
603,96
604,96
605,96
606,96
607,96
608,96
609,96
610,96
611,96
612,96
613,95
614,95
615,95
616,95
617,95
618,95
619,95
620,95
621,95
622,95
623,95
624,95
625,94
626,94
627,94
628,93
629,93
630,92
631,92
632,91
633,90
634,90
635,89
636,88
637,87
638,87
639,86
640,86
641,85
642,84
643,84
644,83
645,82
646,81
647,80
648,79
649,79
650,78
651,76
652,73
653,70
654,67
655,64
656,62
657,55
658,52
659,51
660,50
661,49
662,48
663,48
664,47
665,46
666,45
667,45
668,44
669,42
670,41
671,41
672,41
673,40
674,39
675,36
676,32
677,27
678,19
679,19
680,19
681,19
682,19
683,19
684,19
685,19
686,19
687,18
688,18
710,0
713,0
