x,y
0,113
16,114
17,114
18,114
19,114
20,114
21,114
22,114
23,114
24,114
25,114
26,114
27,113
28,113
29,113
30,113
31,113
32,112
33,112
34,111
35,111
36,111
37,110
38,110
39,110
40,110
41,109
42,109
43,109
44,109
45,108
46,108
47,108
48,106
49,106
50,105
51,105
52,104
53,104
54,103
55,103
56,102
57,102
58,100
59,100
60,100
61,99
62,99
63,98
64,97
65,95
66,94
67,93
68,92
69,92
70,91
71,90
72,88
73,87
74,85
75,84
76,83
77,82
78,80
79,79
80,78
81,76
82,75
83,74
84,73
85,72
86,71
87,69
88,67
89,65
90,63
91,63
92,61
93,60
94,59
95,58
96,56
97,55
98,54
99,53
100,50
101,48
102,47
103,46
104,45
105,44
106,44
107,43
108,41
109,40
110,40
111,42
112,43
113,43
114,44
115,44
116,44
117,44
118,45
119,45
120,46
121,47
122,48
123,50
124,54
125,56
126,57
127,59
128,62
129,64
130,65
131,66
132,67
133,68
134,68
135,69
136,70
137,70
138,71
139,72
140,73
141,74
142,76
143,77
144,78
145,79
146,79
147,79
148,80
149,80
150,80
151,80
152,79
153,79
154,78
155,78
156,78
157,78
158,78
159,78
160,78
161,78
162,78
163,79
164,79
165,79
166,80
167,80
168,82
169,83
170,84
171,84
172,85
173,87
174,88
175,88
176,90
177,91
178,92
179,92
180,94
181,95
182,96
183,97
184,98
185,98
186,99
187,100
188,101
189,102
190,102
191,103
192,104
193,104
194,105
195,105
196,106
197,107
198,108
199,108
200,109
201,109
202,109
203,110
204,110
205,110
206,111
207,111
208,111
209,112
210,112
211,112
212,113
213,113
214,113
215,113
216,113
217,114
218,114
219,114
220,114
221,114
222,114
223,114
224,114
225,114
226,114
227,114
228,114
229,114
230,114
231,114
232,114
233,114
234,114
235,114
236,114
237,114
238,113
239,113
240,113
241,113
242,112
243,112
244,112
245,111
246,111
247,111
248,110
249,110
250,109
251,109
252,108
253,107
254,106
255,106
256,104
257,104
258,103
259,102
260,101
261,100
262,99
263,98
264,96
265,95
266,93
267,92
268,91
269,89
270,88
271,86
272,85
273,83
274,81
275,80
276,78
277,77
278,75
279,74
280,72
281,71
282,69
283,67
284,64
285,62
286,60
287,58
288,56
289,54
290,52
291,50
292,49
293,47
294,47
295,46
296,45
297,45
298,44
299,42
300,40
301,40
302,39
303,40
304,41
305,42
306,44
307,45
308,45
309,46
310,47
311,47
312,48
313,49
314,50
315,51
316,53
317,54
318,55
319,56
320,57
321,58
322,60
323,60
324,61
325,62
326,62
327,63
328,64
329,65
330,66
331,67
332,68
333,69
334,69
335,70
336,71
337,71
338,72
339,72
340,73
341,74
342,75
343,76
344,77
345,78
346,78
347,79
348,79
349,79
350,79
351,79
352,79
353,78
354,78
355,78
356,77
357,77
358,77
359,77
360,77
361,78
362,78
363,78
364,79
365,79
366,80
367,80
368,81
369,83
370,84
371,85
372,85
373,86
374,88
375,89
376,90
377,91
378,93
379,95
380,96
381,98
382,99
383,99
384,100
385,100
386,101
387,102
388,102
389,103
390,103
391,104
392,104
393,105
394,105
395,106
396,106
397,107
398,108
399,109
400,109
401,109
402,109
403,110
404,110
405,110
406,110
407,110
408,110
409,110
410,111
411,111
412,111
413,111
414,112
415,112
416,112
417,113
418,113
419,113
420,113
421,113
422,113
423,113
424,113
425,114
426,114
427,114
428,114
429,114
430,114
431,114
432,113
433,113
434,113
435,113
436,113
437,113
438,112
439,112
440,111
441,111
442,111
443,111
444,110
445,110
446,110
447,110
448,109
449,109
450,109
451,108
452,108
453,107
454,106
455,105
456,104
457,102
458,101
459,100
460,99
461,98
462,97
463,96
464,94
465,92
466,90
467,88
468,86
469,83
470,81
471,78
472,73
473,69
474,66
475,64
476,62
477,61
478,59
479,58
480,57
481,56
482,54
483,51
484,46
485,44
486,43
487,42
488,41
489,40
490,38
491,37
492,36
493,36
494,36
495,36
496,37
497,38
498,40
499,41
500,42
501,43
502,44
503,45
504,46
505,47
506,49
507,50
508,51
509,52
510,52
511,53
512,53
513,53
514,53
515,53
516,54
517,54
518,54
519,55
520,59
521,61
522,61
523,62
524,63
525,63
526,64
527,64
528,64
529,65
530,66
531,66
532,68
533,70
534,73
535,75
536,75
537,76
538,76
539,76
540,77
541,76
542,76
543,76
544,76
545,76
546,76
547,76
548,76
549,76
550,76
551,77
552,77
553,78
554,79
555,79
556,79
557,80
558,80
559,81
560,82
561,83
562,84
563,84
564,86
565,86
566,87
567,88
568,89
569,89
570,90
571,92
572,93
573,94
574,94
575,95
576,95
577,96
578,96
579,97
580,97
581,98
582,98
583,99
584,100
585,101
586,102
587,102
588,102
589,103
590,103
591,103
592,104
593,104
594,105
595,105
596,106
597,107
598,107
599,108
600,108
601,108
602,108
603,108
604,109
605,109
606,109
607,109
608,109
609,109
610,109
611,109
612,109
613,109
614,109
615,109
616,109
617,109
618,109
619,109
620,109
621,109
622,109
623,109
624,109
625,109
626,109
