x,y
13,146
14,146
15,146
16,146
17,146
18,146
19,147
20,147
21,147
22,147
23,147
24,147
25,148
26,149
27,150
28,151
29,152
30,153
31,155
32,156
33,158
34,159
35,160
36,160
37,160
38,161
39,161
40,161
41,161
42,160
43,160
44,159
45,159
46,159
47,158
48,157
49,157
50,156
51,156
52,155
53,154
54,153
55,152
56,151
57,150
58,149
59,147
60,145
61,144
62,143
63,142
64,142
65,140
66,139
67,137
68,135
69,133
70,131
71,129
72,128
73,125
74,122
75,118
76,117
77,115
78,113
79,112
80,111
81,109
82,105
83,99
84,96
85,94
86,92
87,91
88,87
89,84
90,81
91,80
92,77
93,76
94,73
95,71
96,70
97,64
98,63
99,64
100,64
101,65
102,66
103,67
104,68
105,70
106,72
107,73
108,74
109,76
110,79
111,81
112,83
113,85
114,90
115,95
116,97
117,99
118,101
119,103
120,107
121,110
122,112
123,113
124,114
125,116
126,118
127,120
128,122
129,125
130,126
131,127
132,129
133,130
134,133
135,138
136,140
137,141
138,142
139,144
140,145
141,148
142,150
143,152
144,153
145,154
146,155
147,155
148,156
149,156
150,157
151,157
152,157
153,157
154,157
155,158
156,157
157,157
158,157
159,157
160,157
161,156
162,155
163,155
164,154
165,153
166,153
167,152
168,151
169,151
170,150
171,150
172,149
173,148
174,148
175,147
176,147
177,146
178,146
179,145
180,143
181,142
182,140
183,139
184,137
185,136
186,135
187,133
188,131
189,129
190,127
191,126
192,125
193,123
194,121
195,119
196,117
197,114
198,111
199,108
200,106
201,101
202,97
203,95
204,92
205,89
206,87
207,85
208,81
209,78
210,73
211,71
212,70
213,66
214,62
215,59
216,58
217,59
218,61
219,62
220,65
221,66
222,69
223,71
224,73
225,74
226,76
227,77
228,78
229,79
230,85
231,88
232,94
233,97
234,99
235,101
236,103
237,104
238,106
239,107
240,109
241,110
242,111
243,113
244,115
245,115
246,117
247,118
248,122
249,127
250,130
251,132
252,135
253,138
254,141
255,143
256,144
257,145
258,146
259,146
260,147
261,149
262,151
263,152
264,154
265,154
266,155
267,156
268,157
269,157
270,157
271,158
272,158
273,158
274,158
275,158
276,158
277,158
278,157
279,157
280,157
281,157
282,156
283,155
284,154
285,153
286,153
287,152
288,151
289,150
290,149
291,148
292,147
293,145
294,144
295,143
296,143
297,142
298,141
299,140
300,139
301,137
302,135
303,133
304,132
305,130
306,129
307,128
308,126
309,123
310,122
311,120
312,118
313,116
314,114
315,111
316,109
317,107
318,105
319,103
320,101
321,99
322,97
323,94
324,91
325,88
326,86
327,82
328,79
329,75
330,73
331,71
332,68
333,65
334,56
335,55
336,55
337,55
338,57
339,58
340,60
341,63
342,65
343,69
344,72
345,74
346,76
347,77
348,78
349,78
350,79
351,80
352,81
353,82
354,96
355,98
356,101
357,102
358,104
359,105
360,107
361,108
362,109
363,109
364,110
365,111
366,112
367,113
368,114
369,115
370,117
371,119
372,122
373,125
374,129
375,131
376,133
377,134
378,135
379,137
380,139
381,142
382,144
383,145
384,147
385,147
386,148
387,149
388,150
389,151
390,152
391,152
392,152
393,153
394,153
395,154
396,154
397,154
398,154
399,154
400,154
401,154
402,154
403,153
404,153
405,153
406,152
407,152
408,151
409,151
410,151
411,150
412,149
413,149
414,148
415,147
416,146
417,145
418,144
419,142
420,142
421,140
422,138
423,137
424,135
425,135
426,133
427,131
428,127
429,124
430,123
431,121
432,119
433,118
434,116
435,113
436,111
437,108
438,106
439,104
440,102
441,99
442,97
443,95
444,94
445,93
446,91
447,89
448,86
449,83
450,81
451,79
452,76
453,75
454,73
455,71
456,67
457,59
458,57
459,56
460,56
461,56
462,56
463,57
464,59
465,63
466,65
467,66
468,68
469,69
470,71
471,73
472,74
473,75
474,76
475,77
476,78
477,78
478,79
479,81
480,86
481,86
482,87
483,89
484,91
485,92
486,93
487,98
488,103
489,105
490,106
491,106
492,107
493,107
494,109
495,110
496,111
497,112
498,113
499,115
500,116
501,119
502,122
503,126
504,128
505,129
506,131
507,133
508,135
509,137
510,139
511,140
512,141
513,142
514,143
515,144
516,146
517,146
518,147
519,148
520,148
521,149
522,150
523,150
524,151
525,151
526,151
527,152
528,152
529,152
530,152
531,152
532,152
533,152
534,152
535,152
536,151
537,151
538,151
539,150
540,150
541,148
542,147
543,146
544,146
545,145
546,144
547,143
548,142
549,141
550,139
551,138
552,136
553,134
554,131
555,127
556,125
557,123
558,121
559,119
560,116
561,112
562,108
563,106
564,105
565,103
566,100
567,98
568,96
569,94
570,92
571,87
572,85
573,84
574,84
575,82
576,80
577,78
578,75
579,71
580,63
581,55
582,55
583,55
584,55
585,56
586,57
587,58
588,58
589,60
590,62
591,64
592,67
593,69
594,71
595,73
596,74
597,75
598,76
599,77
600,78
601,78
602,79
603,81
604,86
605,92
606,94
607,97
608,100
609,102
610,102
611,103
612,103
613,104
614,105
615,106
616,108
617,109
618,110
619,111
620,112
621,113
622,115
623,118
624,120
625,121
626,122
627,124
628,126
629,131
630,135
631,137
632,138
633,139
634,141
635,142
636,144
637,145
638,146
639,147
640,148
641,150
642,150
643,151
644,151
645,152
646,152
647,152
648,153
649,153
650,153
651,153
652,153
653,153
654,152
655,152
656,152
657,152
658,151
659,151
660,151
661,150
662,149
663,148
664,148
665,147
666,147
667,147
668,145
669,144
670,143
671,141
672,140
673,139
674,137
675,135
676,133
677,132
678,130
679,129
680,128
681,126
682,123
683,117
684,115
685,113
686,111
687,110
688,105
689,101
690,99
691,97
692,95
693,93
694,92
695,90
696,87
697,86
698,83
699,81
700,80
701,78
702,77
703,75
704,74
705,71
706,68
707,56
708,56
709,57
710,58
711,58
712,60
713,61
714,63
715,68
716,70
717,72
718,73
719,75
720,76
721,77
722,77
723,78
724,78
725,79
726,84
727,85
728,94
729,97
730,98
731,99
732,100
733,101
734,105
735,106
736,106
737,107
738,108
739,109
740,110
741,111
742,112
743,112
744,113
745,113
746,114
747,116
748,121
749,132
750,134
751,135
752,136
753,137
754,138
755,139
756,141
757,143
758,143
759,144
760,144
761,145
762,146
763,147
764,147
765,148
766,149
767,149
768,149
769,150
770,150
771,151
772,150
773,151
774,151
775,151
776,151
777,145
778,145
779,144
780,146
781,148
782,147
783,147
784,147
785,146
786,145
787,144
788,143
789,142
790,141
791,141
792,140
793,139
794,137
795,136
796,134
797,132
798,131
799,130
800,127
801,124
802,121
803,119
804,118
805,116
806,115
807,114
808,112
809,109
810,103
811,102
812,100
813,99
814,97
815,96
816,94
817,92
818,91
819,90
820,89
821,88
822,87
823,86
824,84
825,82
826,78
827,72
828,61
829,61
830,61
831,61
832,61
833,61
834,61
835,62
836,62
837,63
838,64
839,65
840,67
841,68
842,69
843,70
844,71
845,71
846,71
847,72
848,72
849,73
850,74
851,75
852,76
853,77
854,77
855,78
856,80
857,83
858,84
859,84
860,85
861,100
862,102
863,103
864,104
865,105
866,106
867,106
868,104
869,101
870,101
871,102
872,102
873,106
874,111
875,111
876,112
877,113
878,115
879,117
