x,y
1,74
2,74
3,74
4,74
5,74
6,74
7,75
8,75
9,75
10,75
11,75
12,75
13,76
14,76
15,76
16,76
17,76
18,76
19,76
20,76
21,76
22,75
23,75
24,75
25,74
26,73
27,73
28,73
29,72
30,72
31,71
32,70
33,70
34,69
35,68
36,67
37,67
38,66
39,65
40,64
41,63
42,62
43,61
44,61
45,60
46,59
47,58
48,56
49,55
50,54
51,53
52,51
53,50
54,48
55,47
56,46
57,45
58,44
59,42
60,41
61,39
62,37
63,35
64,34
65,33
66,32
67,30
68,28
69,27
70,26
71,25
72,25
73,26
74,29
75,31
76,33
77,34
78,35
79,36
80,36
81,36
82,36
83,38
84,42
85,42
86,42
87,42
88,42
89,42
90,43
91,43
92,44
93,45
94,46
95,47
96,48
97,49
98,50
99,52
100,54
101,55
102,56
103,57
104,58
105,58
106,59
107,60
108,61
109,62
110,63
111,64
112,65
113,66
114,67
115,68
116,69
117,69
118,70
119,70
120,70
121,70
122,71
123,72
124,72
125,72
126,73
127,73
128,74
129,74
130,74
131,75
132,75
133,76
134,76
135,76
136,76
137,76
138,76
139,76
140,76
141,76
142,76
143,76
144,76
145,76
146,76
147,76
148,76
149,76
150,76
151,76
152,76
153,76
154,76
155,76
156,75
157,74
158,74
159,74
160,73
161,73
162,73
163,72
164,72
165,71
166,71
167,70
168,69
169,69
170,68
171,67
172,67
173,66
174,66
175,65
176,64
177,64
178,63
179,62
180,62
181,61
182,60
183,59
184,58
185,57
186,56
187,54
188,53
189,52
190,51
191,49
192,47
193,46
194,44
195,43
196,41
197,40
198,39
199,37
200,35
201,33
202,32
203,31
204,30
205,28
206,28
207,27
208,26
209,25
210,26
211,26
212,29
213,31
214,32
215,33
216,33
217,33
218,34
219,34
220,35
221,37
222,39
223,39
224,39
225,39
226,39
227,40
228,41
229,41
230,42
231,43
232,44
233,46
234,47
235,49
236,50
237,52
238,54
239,56
240,57
241,58
242,60
243,61
244,62
245,63
246,64
247,66
248,67
249,68
250,69
251,70
252,70
253,71
254,72
255,72
256,73
257,74
258,75
259,75
260,76
261,77
262,77
263,78
264,78
265,78
266,78
267,78
268,78
269,78
270,78
271,79
272,78
273,78
274,78
275,78
276,79
277,79
278,78
279,78
280,78
281,78
282,77
283,77
284,77
285,76
286,76
287,75
288,75
289,75
290,75
291,75
292,75
293,75
294,74
295,74
296,74
297,74
298,74
299,73
300,73
301,73
302,72
303,72
304,71
305,70
306,70
307,69
308,69
309,68
310,68
311,67
312,66
313,66
314,64
315,63
316,62
317,61
318,61
319,59
320,58
321,57
322,56
323,55
324,54
325,53
326,52
327,50
328,49
329,48
330,46
331,45
332,43
333,42
334,40
335,39
336,37
337,35
338,32
339,31
340,30
341,29
342,27
343,26
344,25
345,25
346,25
347,25
348,25
349,27
350,28
351,29
352,30
353,31
354,32
355,33
356,35
357,35
358,36
359,37
360,37
361,37
362,38
363,39
364,40
365,41
366,41
367,42
368,43
369,45
370,47
371,48
372,49
373,50
374,51
375,52
376,53
377,54
378,56
379,58
380,61
381,62
382,63
383,65
384,66
385,67
386,68
387,69
388,69
389,70
390,71
391,71
392,71
393,72
394,72
395,73
396,73
397,73
398,74
399,74
400,75
401,75
402,76
403,76
404,76
405,76
406,77
407,77
408,77
409,78
410,78
411,79
412,79
413,79
414,79
415,79
416,79
417,78
418,79
419,78
420,78
485,77
486,78
487,78
488,78
489,77
490,77
491,77
492,76
493,76
494,76
495,75
496,74
497,74
498,73
499,72
500,71
501,70
502,70
503,69
504,68
505,67
506,66
507,65
508,64
509,63
510,62
511,61
512,60
513,59
514,57
515,56
516,55
517,54
518,53
519,52
520,50
521,49
522,47
523,44
524,43
525,42
526,41
527,39
528,38
529,36
530,34
531,32
532,31
533,30
534,28
535,26
536,25
537,25
538,25
539,26
540,28
541,29
542,31
543,34
544,34
545,35
546,35
547,35
548,35
549,36
550,36
551,38
552,40
553,41
554,43
555,44
556,46
557,47
558,48
559,49
560,49
561,50
562,51
563,53
564,51
565,49
566,53
567,60
568,61
569,62
570,63
571,64
572,64
573,65
574,66
575,67
576,69
577,70
578,71
579,72
580,73
581,74
582,74
583,75
584,75
585,76
586,76
587,77
588,77
589,77
590,77
591,77
592,78
593,78
594,78
595,79
596,78
597,78
