x,y
32,105
33,113
34,113
35,114
36,114
37,115
38,115
39,115
40,115
41,115
42,115
43,115
44,116
45,116
46,116
47,116
48,116
49,116
50,116
51,117
52,117
53,117
54,117
55,117
56,117
57,118
58,118
59,118
60,118
61,118
62,118
63,118
64,118
65,118
66,118
67,118
68,118
69,117
70,117
71,117
72,117
73,117
74,117
75,116
76,116
77,115
78,115
79,115
80,114
81,114
82,113
83,113
84,112
85,112
86,111
87,111
88,110
89,109
90,108
91,107
92,107
93,106
94,105
95,104
96,102
97,102
98,100
99,98
100,97
101,96
102,95
103,93
104,92
105,91
106,89
107,87
108,85
109,84
110,82
111,80
112,77
113,66
114,60
115,58
116,56
117,55
118,54
119,53
120,52
121,52
122,51
123,50
124,49
125,48
126,47
127,47
128,46
129,45
130,44
131,43
132,42
133,39
134,38
135,37
136,36
137,35
138,32
139,22
140,21
141,21
142,21
143,21
144,21
145,21
146,21
147,21
148,21
149,22
150,22
151,22
152,22
153,22
154,22
155,22
156,22
157,22
158,22
159,22
160,22
161,22
162,22
163,22
164,22
165,22
166,22
167,22
168,22
169,22
170,22
171,22
172,22
173,23
174,24
175,25
176,27
177,29
178,30
179,31
180,31
181,32
182,32
183,33
184,33
185,33
186,34
187,34
188,35
189,35
190,43
191,51
192,65
193,68
194,74
195,77
196,79
197,82
198,86
199,94
200,95
201,96
202,97
203,98
204,99
205,100
206,101
207,104
208,105
209,107
210,109
211,110
212,111
213,112
214,113
215,115
216,115
217,117
218,117
219,119
220,120
221,120
222,121
223,121
224,122
225,122
226,122
227,122
228,122
229,123
230,123
231,123
232,123
233,124
234,124
235,124
236,124
237,124
238,124
239,124
240,123
241,123
242,123
243,123
244,122
245,122
246,121
247,121
248,120
249,120
250,119
251,119
252,118
253,117
254,117
255,115
256,114
257,113
258,111
259,110
260,109
261,107
262,105
263,103
264,101
265,99
266,98
267,97
268,94
269,92
270,76
271,68
272,65
273,65
274,64
275,62
276,61
277,61
278,60
279,59
280,59
281,58
282,58
283,57
284,56
285,56
286,55
287,53
288,51
289,49
290,47
291,45
292,43
293,39
294,24
295,23
296,23
297,23
298,23
299,23
300,23
301,23
302,23
303,23
304,23
305,23
306,23
307,23
308,23
309,23
310,23
311,23
312,23
313,23
314,23
315,23
316,23
317,24
318,24
319,24
320,24
321,25
322,25
323,27
324,28
325,29
326,31
327,32
328,32
329,33
330,33
331,34
332,37
333,50
334,51
335,52
336,52
337,60
338,63
339,66
340,70
341,75
342,79
343,83
344,93
345,94
346,95
347,97
348,98
349,99
350,102
351,106
352,109
353,110
354,112
355,114
356,115
357,116
358,117
359,117
360,118
361,118
362,119
363,119
364,120
365,121
366,122
367,122
368,123
369,123
370,124
371,124
372,124
373,124
374,125
375,125
376,125
377,124
378,124
379,125
380,125
381,125
382,125
383,125
384,124
385,124
386,124
387,124
388,123
389,123
390,123
391,122
392,122
393,122
394,121
395,121
396,121
397,120
398,120
399,119
400,119
401,118
402,118
403,117
404,116
405,115
406,114
407,112
408,109
409,108
410,107
411,106
412,104
413,103
414,97
415,82
416,80
417,75
418,65
419,65
420,64
421,64
422,63
423,62
424,62
425,61
426,60
427,59
428,58
429,57
430,56
431,56
432,54
433,52
434,50
435,49
436,47
437,45
438,26
439,25
440,24
441,24
442,24
443,24
444,24
445,23
446,23
447,23
448,23
449,24
450,24
451,24
452,24
453,24
454,24
455,24
456,24
457,24
458,24
459,24
460,24
461,24
462,24
463,24
464,25
465,25
466,25
467,25
468,25
469,26
470,27
471,28
472,28
473,29
474,30
475,30
476,31
477,31
478,32
479,32
480,33
481,34
482,40
483,44
484,49
485,51
486,52
487,53
488,63
489,74
490,86
491,88
492,90
493,92
494,94
495,95
496,96
497,98
498,101
499,105
500,108
501,110
502,112
503,114
504,115
505,117
506,118
507,118
508,119
509,120
510,121
511,121
512,122
513,122
514,123
515,123
516,124
517,124
518,125
519,125
520,125
521,126
522,126
523,127
524,128
525,128
526,129
527,129
528,130
529,129
530,129
531,130
532,129
533,129
534,129
535,129
536,129
537,128
538,128
539,128
540,127
541,127
542,126
543,125
544,124
545,123
546,122
547,121
548,121
549,119
550,118
551,117
552,116
553,115
554,114
555,113
556,112
557,110
558,108
559,106
560,105
561,103
562,97
563,90
564,87
565,81
566,71
567,68
568,67
569,67
570,66
571,65
572,65
573,64
574,63
575,63
576,62
577,62
578,61
579,60
580,60
581,59
582,57
583,55
584,54
585,53
586,52
587,51
588,50
589,48
590,31
591,25
592,25
593,25
594,25
595,25
596,25
597,25
598,25
599,25
600,25
601,25
602,25
603,25
604,25
605,25
606,25
607,25
608,25
609,26
610,26
611,27
612,29
613,30
614,31
615,32
616,32
617,33
618,33
619,34
620,35
621,40
622,45
623,53
624,55
625,62
626,66
627,72
628,77
629,85
630,92
631,93
632,94
633,96
634,97
635,99
636,100
637,102
638,104
639,105
640,107
641,110
642,113
643,115
644,116
645,118
646,119
647,120
648,122
649,124
650,125
651,125
652,126
653,127
654,128
655,128
656,128
657,129
658,129
659,129
660,130
661,130
662,131
663,131
664,131
665,132
666,132
667,132
668,132
669,132
670,132
671,132
672,132
673,132
674,132
675,132
676,132
677,132
678,132
679,132
680,132
681,131
682,131
683,131
684,130
685,130
686,129
687,128
688,128
689,127
690,126
691,126
692,125
693,124
694,122
695,121
696,120
697,119
698,118
699,116
700,115
701,111
702,109
703,108
704,106
705,104
706,102
707,100
708,94
709,85
710,76
711,71
712,69
713,68
714,67
715,67
716,66
717,65
718,64
719,63
720,62
721,61
722,61
723,60
724,60
725,58
726,57
727,53
728,49
729,46
730,41
731,31
732,30
733,29
734,29
735,29
736,29
737,29
738,29
739,29
740,29
741,29
742,29
743,30
744,30
745,30
746,30
747,30
748,30
749,29
750,29
751,29
752,29
753,30
754,30
755,30
756,30
757,30
758,31
759,31
760,32
761,31
762,32
763,32
764,33
765,34
766,34
767,36
768,40
769,59
770,60
771,61
772,63
773,65
774,67
775,71
776,79
777,86
778,90
779,100
780,101
781,104
782,109
783,112
784,116
785,118
786,119
787,121
788,123
789,125
790,126
791,127
792,129
793,129
794,130
795,130
796,131
797,131
798,132
799,132
800,132
801,132
802,133
803,133
804,133
805,133
806,133
807,133
808,133
809,133
810,133
811,133
812,133
813,133
814,133
815,133
816,133
817,133
818,133
819,133
