x,y
0,146
1,146
2,146
3,146
4,146
5,145
6,145
7,146
8,145
9,145
10,145
11,145
12,145
13,146
14,146
15,146
16,146
17,146
18,146
19,146
20,147
21,147
22,147
23,148
24,148
25,148
26,148
27,148
28,148
29,147
30,147
31,148
32,147
33,147
34,147
35,147
36,147
37,146
38,146
39,146
40,145
41,145
42,145
43,144
44,144
45,144
46,143
47,142
48,142
49,141
50,140
51,140
52,139
53,138
54,138
55,138
56,137
57,136
58,136
59,134
60,132
61,130
62,128
63,127
64,127
65,126
66,125
67,121
68,120
69,119
70,117
71,117
72,116
73,114
74,111
75,108
76,106
77,104
78,102
79,100
80,99
81,97
82,95
83,94
84,92
85,89
86,86
87,85
88,82
89,79
90,78
91,76
92,75
93,74
94,73
95,71
96,69
97,67
98,66
99,65
100,64
101,63
102,62
103,61
104,59
105,58
106,56
107,53
108,46
109,44
110,36
111,34
112,33
113,32
114,32
115,32
116,32
117,32
118,33
119,33
120,34
121,35
122,37
123,41
124,45
125,48
126,51
127,52
128,54
129,55
130,56
131,56
132,57
133,57
134,58
135,58
136,58
137,58
138,59
139,59
140,59
141,60
142,61
143,61
144,62
145,63
146,64
147,64
148,65
149,69
150,74
151,75
152,75
153,76
154,76
155,76
156,76
157,76
158,77
159,77
160,77
161,78
162,79
163,80
164,81
165,82
166,83
167,85
168,86
169,88
170,89
171,90
172,90
173,91
174,91
175,92
176,92
177,93
178,94
179,95
180,96
181,97
182,98
183,99
184,101
185,102
186,103
187,103
188,105
189,106
190,107
191,108
192,109
193,110
194,111
195,113
196,114
197,115
198,117
199,118
200,119
201,120
202,121
203,122
204,123
205,125
206,126
207,127
208,127
209,128
210,128
211,128
212,129
213,130
214,131
215,132
216,132
217,133
218,134
219,134
220,135
221,136
222,137
223,138
224,138
225,139
226,139
227,140
228,140
229,141
230,141
231,141
232,142
233,142
234,142
235,143
236,142
237,143
238,143
239,143
240,144
241,144
242,144
243,145
244,145
245,145
246,145
247,145
248,145
249,145
250,145
251,145
252,145
253,145
254,145
255,145
256,145
257,144
258,144
259,145
260,145
261,145
262,145
263,145
264,145
265,145
266,144
267,144
268,143
269,143
270,142
271,142
272,141
273,141
274,141
275,140
276,140
277,139
278,138
279,137
280,137
281,136
282,134
283,130
284,128
285,126
286,125
287,125
288,124
289,123
290,122
291,121
292,119
293,115
294,104
295,100
296,98
297,96
298,94
