x,y
0,46
1,46
2,46
3,46
4,46
5,45
6,44
7,44
8,43
9,43
10,42
11,41
12,39
13,38
14,37
15,36
16,35
17,34
18,32
19,30
20,29
21,29
22,28
23,27
24,26
25,25
26,24
27,23
28,24
29,24
30,24
31,25
32,25
33,27
34,27
35,27
36,28
37,29
38,30
39,30
40,31
41,33
42,35
43,35
44,37
45,38
46,38
47,39
48,41
49,42
50,43
51,44
52,45
53,45
54,45
55,45
56,45
57,45
60,44
61,44
62,43
63,43
64,43
65,43
66,42
67,42
68,41
69,40
70,39
71,38
72,37
73,36
74,35
75,34
76,33
77,32
78,31
79,30
80,29
81,28
82,27
83,25
84,24
85,24
86,24
87,24
88,24
89,25
90,25
91,26
92,26
93,27
94,28
95,28
96,29
97,30
98,30
99,30
100,30
101,31
102,32
103,33
104,34
105,36
106,37
107,37
108,38
109,39
110,40
111,41
112,42
113,42
114,43
115,44
116,44
117,45
118,45
119,46
120,46
121,46
122,46
123,46
124,46
125,45
126,45
127,44
128,43
129,43
130,42
131,41
132,40
133,39
134,38
135,37
136,35
137,33
138,31
139,29
140,28
141,27
145,23
146,23
147,24
148,24
149,25
150,26
151,26
152,27
153,28
154,30
155,30
156,31
157,31
158,31
159,32
160,34
161,35
162,37
163,38
164,39
165,41
166,42
167,43
168,43
169,44
170,44
171,44
172,45
173,46
174,46
175,46
176,46
177,46
178,46
179,46
180,46
181,46
182,46
183,45
184,45
185,45
186,44
187,44
188,43
189,43
190,43
191,42
192,41
193,41
194,39
195,38
196,37
197,36
198,35
199,33
200,32
201,31
202,28
203,27
204,25
205,24
206,24
207,24
208,25
209,26
210,26
211,27
212,27
213,28
214,28
215,29
216,30
217,31
218,32
219,33
220,33
221,34
222,36
223,37
224,39
225,39
226,40
227,41
228,43
229,44
230,45
231,45
232,45
233,45
234,45
235,46
238,46
239,46
240,46
241,46
242,46
243,46
244,46
245,46
246,46
247,46
248,45
249,44
250,43
251,43
252,42
253,42
254,41
255,40
256,39
257,38
258,36
259,35
260,34
261,33
262,33
263,32
264,28
265,26
266,26
267,26
268,26
269,27
270,27
271,29
272,31
273,32
274,32
275,32
276,32
277,32
278,32
279,33
280,33
281,41
282,40
283,41
284,41
285,41
286,42
287,43
288,44
289,44
290,45
291,46
292,46
293,47
294,47
295,47
296,48
297,48
298,49
299,50
300,50
301,50
302,50
303,49
304,48
305,47
306,46
307,46
308,46
309,45
310,44
311,43
312,43
313,42
314,41
315,40
316,39
317,38
318,37
319,35
320,33
321,31
322,30
323,28
324,27
325,26
326,26
327,26
328,26
329,26
330,27
331,29
332,30
333,30
334,31
335,33
336,34
337,35
338,36
339,39
340,40
341,41
342,42
343,42
344,43
345,44
346,45
347,46
348,47
349,47
350,47
351,48
352,49
353,49
354,50
355,50
356,50
357,50
358,50
359,50
360,49
361,49
362,49
363,48
364,47
365,47
366,47
367,45
368,45
369,44
370,44
371,42
372,41
373,40
374,39
375,38
376,37
377,36
378,36
379,32
380,32
381,32
