x,y
82,111
83,112
84,111
85,111
86,110
87,110
88,109
89,107
90,105
91,91
92,90
93,89
94,89
95,88
96,88
97,82
98,76
99,66
100,58
101,56
102,56
103,55
104,52
105,51
106,51
107,51
108,51
109,51
110,52
111,52
112,52
113,15
114,14
115,14
116,14
117,14
118,14
119,14
120,14
121,14
122,14
123,14
124,14
125,14
126,14
127,15
128,15
129,16
130,18
131,20
132,23
133,25
134,27
135,29
136,29
137,30
138,38
139,39
140,41
141,41
142,42
143,42
144,42
145,42
146,42
147,42
148,41
149,41
150,42
151,42
152,52
153,64
154,64
155,64
160,64
161,64
162,64
163,64
164,64
165,65
166,64
167,64
168,64
169,64
170,64
171,64
172,63
173,63
174,63
175,63
176,64
177,65
178,67
179,74
180,78
181,80
182,83
183,84
184,84
185,85
186,85
187,85
188,85
189,86
190,86
191,86
192,86
193,91
194,95
195,100
196,105
197,106
198,107
199,108
200,111
201,115
202,116
203,116
204,116
205,117
206,117
207,117
208,118
209,119
210,120
211,121
212,123
213,126
214,127
215,128
216,128
222,145
223,145
228,164
229,164
230,164
231,164
232,164
233,164
234,164
235,164
236,164
237,164
238,164
239,164
240,164
241,164
242,164
243,164
244,165
248,164
249,165
250,165
251,165
252,165
253,165
254,165
255,165
256,164
257,164
258,164
259,164
260,163
268,136
269,135
270,135
271,134
272,133
273,133
274,132
275,132
276,132
277,132
278,133
279,133
280,134
283,64
284,72
285,75
286,75
287,75
288,75
289,75
290,75
291,75
292,75
293,75
294,75
295,75
296,75
297,75
298,74
299,64
300,45
301,16
302,15
303,15
304,16
305,16
306,16
368,55
369,56
370,55
371,55
372,55
373,55
374,55
375,56
376,55
377,56
378,56
381,85
382,85
383,84
384,84
385,84
386,84
387,84
388,84
389,84
390,84
410,125
411,125
412,125
413,125
414,125
415,125
416,126
417,126
418,127
419,128
445,164
446,164
447,164
448,164
449,164
450,164
451,164
452,163
453,164
454,164
455,164
456,164
457,163
458,163
459,162
460,162
461,161
462,160
463,159
464,159
465,158
484,126
485,126
486,126
487,126
489,74
490,62
491,58
492,55
493,56
494,55
495,56
496,54
497,53
498,51
499,45
500,44
501,44
502,43
503,39
504,36
505,35
506,35
507,35
508,32
529,34
530,35
531,35
532,35
533,35
534,35
535,36
536,36
537,36
538,37
539,37
540,38
541,40
542,46
543,49
544,49
545,51
546,51
547,52
548,52
549,52
550,52
551,53
552,54
553,55
554,64
555,64
556,64
557,64
558,64
575,46
594,104
595,104
596,104
597,104
598,104
599,104
600,104
601,105
602,105
603,105
604,105
605,105
606,105
607,105
608,105
609,121
610,121
611,122
612,123
613,123
614,123
615,124
616,126
617,144
618,144
619,144
620,144
621,144
622,144
623,144
624,144
625,144
626,144
627,144
628,144
629,145
630,145
631,145
632,146
633,146
634,148
635,152
636,153
637,153
638,154
639,154
640,154
641,154
642,154
643,154
644,154
645,154
646,154
647,153
648,152
649,151
650,150
651,149
652,148
653,147
654,147
655,147
656,146
657,146
658,146
659,135
660,133
661,130
662,125
663,125
664,125
665,120
666,117
667,116
668,115
669,114
670,113
671,112
672,109
673,104
674,104
675,104
676,104
677,104
678,104
679,104
680,104
681,92
682,86
683,81
684,55
685,55
686,50
687,46
688,42
689,37
690,33
691,33
692,34
693,30
694,29
695,29
696,28
697,26
698,25
699,17
705,16
706,16
707,15
708,14
709,13
710,12
711,13
712,14
713,14
714,16
715,17
716,17
717,17
718,18
719,18
720,19
721,18
722,18
723,19
724,19
725,19
726,19
727,23
728,33
729,37
730,40
731,43
732,44
733,48
734,54
735,54
736,54
737,54
738,54
739,54
740,52
741,49
742,33
752,68
753,66
754,65
755,65
756,63
757,62
758,61
759,60
760,59
761,57
762,57
763,56
764,56
765,56
766,55
767,55
768,59
769,61
770,62
771,63
772,65
773,65
774,69
775,70
776,72
777,75
778,77
779,81
780,85
781,86
782,88
783,91
784,93
785,95
786,95
787,95
788,95
789,95
790,96
791,102
792,103
793,107
794,113
795,113
796,113
797,113
798,113
799,113
800,113
815,152
816,150
817,148
818,147
819,146
820,146
821,146
822,146
823,146
824,147
825,147
826,149
827,149
828,150
829,151
830,151
831,151
832,152
833,152
834,153
835,153
836,154
837,154
838,154
839,154
840,154
841,153
842,153
843,153
844,152
845,152
846,151
847,150
848,150
849,149
850,149
851,148
852,148
853,148
854,148
855,145
856,136
857,134
858,133
859,124
860,125
861,120
862,120
863,119
864,118
865,117
866,116
867,115
868,107
869,105
870,104
871,103
872,102
873,101
874,99
875,98
876,91
877,87
878,83
879,79
880,76
881,75
882,73
883,73
884,68
885,59
886,54
887,53
888,51
889,50
890,48
891,42
892,33
893,33
894,32
895,32
896,31
897,30
898,28
899,27
900,25
901,18
902,15
903,15
904,14
905,13
906,12
907,7
908,7
909,7
910,7
911,7
912,7
913,7
914,8
