x,y
24,153
25,154
26,153
27,154
28,154
29,156
30,156
31,157
32,157
33,158
34,157
35,158
36,158
37,158
38,159
39,159
40,160
41,160
42,161
43,161
44,161
45,161
46,161
47,161
48,160
49,160
50,159
51,159
52,159
53,159
54,158
55,158
56,158
57,157
58,157
59,156
60,156
61,155
62,155
63,154
64,153
65,150
66,148
67,147
68,146
69,145
70,145
71,144
72,143
73,143
74,142
75,142
76,141
77,140
78,139
79,137
80,135
81,134
82,133
83,133
84,132
85,131
86,129
87,126
88,122
89,119
90,117
91,116
92,114
93,112
94,110
95,107
96,105
97,100
98,96
99,94
100,93
101,91
102,90
103,89
104,87
105,86
106,85
107,84
108,83
109,82
110,81
111,80
112,79
113,78
114,76
115,74
116,73
117,72
118,71
119,70
120,69
121,68
122,66
123,64
124,62
125,61
126,60
127,60
128,58
129,57
130,56
131,53
132,49
133,39
134,34
135,31
136,30
137,29
138,29
139,29
140,29
141,29
142,29
143,30
144,31
145,32
146,33
147,34
148,35
149,36
150,43
151,47
152,47
153,48
154,50
155,54
156,56
157,57
158,59
159,73
160,76
161,78
162,79
163,82
164,85
165,87
166,91
167,94
168,98
169,100
170,102
171,103
172,104
173,104
174,105
175,106
176,110
177,115
178,118
179,122
180,124
181,127
182,129
183,132
184,133
185,135
186,136
187,137
188,138
189,139
190,141
191,143
192,145
193,146
194,147
195,148
196,149
197,149
198,150
199,151
200,152
201,153
202,154
203,155
204,156
205,156
206,158
207,158
208,160
209,160
210,161
211,161
212,161
213,161
214,161
215,161
216,160
217,160
218,159
219,159
220,158
221,158
222,157
223,155
224,153
225,151
226,150
227,149
228,147
229,146
230,144
231,142
232,139
233,135
234,128
235,124
236,121
237,119
238,118
239,116
240,115
241,114
242,113
243,108
244,104
245,102
246,100
247,98
248,98
249,97
250,96
251,95
252,94
253,93
254,92
255,92
256,91
257,90
258,89
259,89
260,88
261,87
262,86
263,85
264,83
265,82
266,81
267,80
268,79
269,78
270,77
271,76
272,74
273,72
274,68
275,65
276,62
277,60
278,59
279,56
280,44
281,30
282,30
283,31
284,32
285,32
286,33
287,34
288,35
289,36
290,37
291,41
292,46
293,49
294,50
295,61
296,65
297,67
298,68
299,69
300,71
301,78
302,79
303,80
304,82
305,84
306,89
307,92
308,94
309,95
310,96
311,99
312,102
313,108
314,117
315,121
316,127
317,129
318,132
319,137
320,142
321,143
322,144
323,144
324,145
325,146
326,147
327,148
328,150
329,151
330,152
331,154
332,155
333,156
334,156
335,157
336,158
337,159
338,159
339,160
340,160
341,160
342,160
343,160
344,159
345,159
346,158
347,158
348,158
349,157
350,157
351,156
352,155
353,153
354,152
355,151
356,150
357,149
358,149
359,148
360,147
361,146
362,146
363,145
364,143
365,142
366,141
367,139
368,138
369,137
370,136
371,135
372,133
373,131
374,127
375,125
376,123
377,122
378,120
379,119
380,117
381,114
382,112
383,110
384,107
385,106
386,103
387,102
388,99
389,94
390,91
391,89
392,88
393,87
394,86
395,85
396,84
397,83
398,81
399,79
400,77
401,76
402,74
403,73
404,72
405,71
406,70
407,69
408,69
409,67
410,65
411,59
412,55
413,52
414,50
415,49
416,47
417,44
418,40
419,29
420,27
421,26
422,26
423,26
424,27
425,28
426,37
427,40
428,41
429,43
430,44
431,45
432,48
433,54
434,73
435,75
436,77
437,77
438,77
439,77
440,78
441,79
442,78
443,84
444,87
445,89
446,90
447,94
448,112
449,113
450,112
451,113
452,116
453,119
454,120
455,122
456,123
457,126
458,131
459,133
460,133
461,134
462,134
463,136
464,137
465,140
466,141
467,143
468,145
469,147
470,148
471,150
472,151
473,153
474,153
475,154
476,155
477,155
478,156
479,157
480,158
481,158
482,159
483,160
484,160
485,160
486,160
487,160
488,160
489,160
490,160
491,160
492,160
493,159
494,159
495,159
496,158
497,157
498,157
499,156
500,154
501,152
502,150
503,147
504,146
505,145
506,143
507,142
508,140
509,138
510,134
511,127
512,122
513,120
514,118
515,117
516,116
517,114
518,112
519,109
520,106
521,104
522,102
523,100
524,99
525,98
526,96
527,95
528,94
529,92
530,91
531,90
532,88
533,87
534,86
535,85
536,84
537,83
538,82
539,80
540,80
541,78
542,78
543,76
544,75
545,73
546,71
547,69
548,67
549,66
550,65
551,64
552,63
553,63
554,61
555,59
556,53
557,40
558,39
559,36
560,36
561,36
562,37
563,38
564,39
565,38
566,39
567,40
568,41
569,42
570,46
571,59
572,65
573,70
574,76
575,81
576,85
577,86
578,88
579,88
580,89
581,90
582,92
583,95
584,97
585,100
586,103
587,107
588,110
589,111
590,115
591,118
592,120
593,122
594,124
595,135
596,136
597,136
598,138
599,140
600,142
601,144
602,145
603,145
604,147
605,148
606,149
607,150
608,152
609,153
610,156
611,157
612,158
613,159
614,160
615,160
616,161
617,161
618,162
619,162
620,162
621,162
622,163
623,163
624,163
625,163
626,162
627,162
628,163
629,162
630,162
631,161
632,161
633,160
634,160
635,159
636,159
637,158
