x,y
3,119
4,118
5,118
6,118
7,118
8,117
9,117
10,117
11,117
12,117
13,118
14,118
15,118
16,119
17,119
18,120
19,120
20,121
21,122
22,122
23,123
24,124
25,124
26,124
27,124
28,125
29,125
30,125
31,125
32,125
33,125
34,125
35,124
36,124
37,123
38,123
39,122
40,122
41,122
42,121
43,120
44,120
45,118
46,117
47,117
48,116
49,115
50,115
51,113
52,113
53,112
54,110
55,108
56,106
57,105
58,103
59,103
60,101
61,100
62,98
63,96
64,94
65,94
66,92
67,91
68,89
69,87
70,84
71,81
72,79
73,77
74,76
75,74
76,72
77,67
78,63
79,61
80,59
81,58
82,57
83,56
84,54
85,50
86,44
87,43
88,41
89,40
90,38
91,36
92,33
93,28
94,27
95,27
96,27
97,27
98,27
99,27
100,28
101,28
102,28
103,29
104,29
105,30
106,30
107,31
108,33
109,35
110,37
111,39
112,41
113,42
114,43
115,44
116,45
117,47
118,47
119,48
120,49
121,50
122,51
123,52
124,53
125,54
126,55
127,56
128,56
129,57
130,58
131,59
132,61
133,61
134,62
135,62
136,62
137,62
138,62
139,62
140,62
141,62
142,62
143,62
144,63
145,63
146,64
147,65
148,66
149,67
150,68
151,69
152,70
153,72
154,73
155,76
156,77
157,79
158,80
159,82
160,84
161,86
162,87
163,88
164,89
165,91
166,91
167,93
168,93
169,94
170,98
171,99
172,101
173,102
174,103
175,104
176,105
177,105
178,107
179,108
180,110
181,111
182,112
183,114
184,114
185,115
186,116
187,117
188,118
189,118
190,119
191,120
192,120
193,121
194,121
195,122
196,122
197,122
198,123
199,123
200,123
201,123
202,123
203,123
204,123
205,122
206,122
207,122
208,121
209,121
210,120
211,120
212,119
213,118
214,118
215,117
216,117
217,116
218,115
219,114
220,114
221,113
222,112
223,111
224,109
225,108
226,107
227,106
228,105
229,104
230,103
231,100
232,98
233,96
234,95
235,93
236,92
237,88
238,85
239,82
240,79
241,77
242,76
243,75
244,73
245,71
246,69
247,65
248,62
249,60
250,59
251,57
252,55
253,52
254,49
255,46
256,44
257,42
258,41
259,40
260,38
261,33
262,32
263,32
264,32
265,31
