x,y
0,105
1,105
2,101
3,100
4,101
5,100
6,101
7,100
8,100
9,100
10,101
11,101
12,100
13,100
14,100
15,100
16,100
17,100
18,100
19,100
20,99
21,99
22,99
23,99
24,98
25,98
26,98
27,98
28,97
29,97
30,97
31,97
32,96
33,96
34,96
35,96
36,96
37,95
38,95
39,94
40,94
41,93
42,93
43,92
44,92
45,91
46,90
47,90
48,89
49,89
50,88
51,87
52,87
53,86
54,85
55,85
56,84
57,83
58,82
59,82
60,82
61,82
62,81
63,81
64,81
65,80
66,80
67,80
68,79
69,79
70,79
71,78
72,77
73,76
74,75
75,74
76,74
77,73
78,73
79,72
80,72
81,71
82,70
83,70
84,69
85,68
86,67
87,66
88,66
89,65
90,64
91,63
92,63
93,62
94,61
95,60
96,60
97,60
98,60
99,60
100,60
101,61
102,61
103,62
104,62
105,63
106,64
107,65
108,65
109,65
110,66
111,67
112,67
113,67
114,68
115,68
116,68
117,69
118,69
119,69
120,69
121,70
122,70
123,71
124,72
125,72
126,73
127,73
128,74
129,74
130,75
131,76
132,76
133,76
134,77
135,78
136,78
137,79
138,79
139,81
140,82
141,82
142,82
143,83
144,84
145,84
146,84
147,85
148,85
149,85
150,85
151,86
152,86
153,87
154,87
155,88
156,89
157,90
158,90
159,91
160,91
161,92
162,92
163,93
164,94
165,95
166,95
167,96
168,97
169,97
170,97
171,97
172,97
173,97
174,98
175,98
176,98
177,98
178,98
179,98
180,98
181,98
182,98
183,98
184,98
185,98
186,98
187,98
188,98
189,98
190,98
191,98
192,98
193,98
194,98
195,98
196,98
197,98
198,98
199,98
200,98
201,98
202,98
203,98
204,98
205,98
206,98
207,98
208,98
209,98
210,98
211,98
212,98
213,98
214,98
215,98
216,97
217,97
218,97
219,97
220,97
221,97
222,97
223,97
224,97
225,97
226,97
227,97
228,97
229,97
230,96
231,96
232,96
233,96
234,96
235,95
236,95
237,95
238,94
239,94
240,93
241,92
242,91
243,90
244,90
245,89
246,89
247,88
248,88
249,87
250,87
251,86
252,85
253,84
254,83
255,83
256,82
257,81
258,81
259,80
260,79
261,79
262,78
263,77
264,77
265,76
266,75
267,74
268,73
269,72
270,71
271,70
272,69
273,69
274,68
275,68
276,67
277,66
278,66
279,65
280,64
281,63
282,63
283,63
284,63
285,62
286,63
287,62
288,62
289,62
290,62
291,63
292,63
293,63
294,64
295,64
296,64
297,65
298,65
299,66
300,66
301,67
302,67
303,67
304,68
305,68
306,68
307,69
308,69
309,70
310,70
311,71
312,71
313,72
314,72
315,73
316,73
317,73
318,74
319,74
320,74
321,75
322,75
323,76
324,77
325,78
326,78
327,79
328,80
329,80
330,81
331,81
332,82
333,83
334,83
335,84
336,84
337,84
338,84
339,84
340,84
341,84
342,84
343,84
344,85
345,85
346,85
347,85
348,85
349,85
350,85
351,85
352,85
353,85
354,85
355,86
356,87
357,87
358,88
359,88
360,89
361,89
362,90
363,90
364,90
365,91
366,92
367,92
368,93
369,93
370,94
371,94
372,95
373,95
374,96
375,96
376,96
377,97
378,98
379,98
380,98
381,98
382,99
383,99
384,99
385,100
386,100
387,100
388,100
389,100
390,100
391,100
392,100
393,100
394,100
395,100
396,100
397,100
398,100
399,100
400,100
401,100
402,100
403,100
404,100
405,100
406,100
407,99
408,99
409,99
410,99
411,99
412,99
413,99
414,99
415,98
416,98
417,98
418,98
419,98
420,98
421,98
422,98
423,98
424,98
425,98
426,98
427,97
428,97
429,97
430,97
431,97
432,96
433,96
434,96
