x,y
6,101
7,101
8,101
9,102
10,102
11,108
12,114
13,115
14,115
15,111
16,112
17,111
18,112
19,111
20,112
21,112
22,112
23,112
24,113
25,112
26,113
27,114
28,114
29,114
30,114
31,114
32,114
33,115
34,114
35,114
36,113
37,113
38,113
39,113
40,113
41,112
42,112
43,112
44,112
45,112
46,112
47,112
48,111
49,111
50,111
51,110
52,110
53,110
54,110
55,109
56,110
57,109
58,109
59,109
60,109
61,109
62,107
63,107
64,108
65,108
66,109
67,110
68,107
69,105
70,105
71,105
72,105
73,105
74,104
75,104
76,103
77,103
78,103
79,103
80,103
81,102
82,99
83,97
84,94
85,91
86,86
87,84
88,82
89,81
90,79
91,77
92,77
93,76
94,80
95,80
96,80
97,79
98,78
99,78
100,77
101,77
102,76
103,74
104,73
105,71
106,70
107,70
108,71
109,69
110,70
111,69
112,70
113,69
114,68
115,68
116,67
117,65
118,64
119,63
120,61
121,61
122,61
123,65
124,66
125,69
126,73
127,75
128,77
129,78
130,79
131,81
132,82
133,83
134,82
135,82
136,82
137,80
138,80
139,80
140,81
141,82
142,81
143,80
144,80
145,78
146,79
147,77
148,77
149,74
150,74
151,75
152,75
153,76
154,80
155,84
156,88
157,90
158,91
159,94
160,96
161,98
162,97
163,97
164,98
165,97
166,97
167,96
168,89
169,88
170,87
171,89
172,89
173,89
174,89
175,90
176,91
177,92
178,93
179,94
180,96
181,100
182,101
183,101
184,102
185,103
186,103
187,103
188,104
189,104
190,105
191,106
192,107
193,107
194,108
195,108
196,107
197,106
198,106
199,106
200,107
201,114
202,116
203,117
204,119
205,118
206,117
207,117
208,116
209,116
210,117
211,116
212,116
213,114
214,113
215,113
216,112
217,111
218,109
219,106
220,107
221,105
222,105
223,104
224,105
225,105
226,107
227,110
228,111
229,113
230,116
231,116
232,116
233,117
234,117
235,117
236,117
237,117
238,118
239,119
240,119
241,116
242,114
243,112
244,112
245,112
246,110
247,110
248,108
249,107
250,108
251,108
252,110
253,113
254,114
255,115
256,115
257,116
258,114
259,112
260,110
261,109
262,109
263,107
264,106
265,106
266,106
267,107
268,107
269,107
270,107
271,104
272,101
273,98
274,96
275,93
276,90
277,85
278,83
279,82
280,82
281,81
282,80
283,80
284,79
285,78
286,78
287,78
288,81
289,84
290,83
291,85
292,84
293,84
294,83
295,83
296,80
297,82
298,82
299,81
300,81
301,82
302,81
303,80
304,80
305,79
306,78
307,78
308,77
309,77
310,76
311,76
312,75
313,75
314,75
315,75
316,75
317,75
318,70
319,68
320,68
321,66
322,67
323,67
324,68
325,66
326,66
327,67
328,68
329,68
330,69
331,70
332,72
333,74
334,74
335,76
336,77
337,80
338,80
339,78
340,79
341,79
342,80
343,81
344,83
345,83
346,83
347,84
348,84
349,84
350,84
351,84
352,85
353,85
354,86
355,87
356,89
357,89
358,89
359,88
360,88
361,88
362,90
363,93
364,95
365,98
366,103
367,104
368,107
369,107
370,107
371,107
372,106
373,105
374,105
375,104
376,102
377,102
378,102
379,101
380,100
381,101
382,100
383,101
384,100
