x,y
1,20
2,19
3,19
4,19
5,19
6,19
7,19
8,19
9,19
10,19
11,20
12,20
13,20
14,21
15,22
16,26
17,26
18,27
19,28
20,28
21,29
22,29
23,30
24,36
25,41
26,54
27,56
28,59
29,59
30,61
31,62
32,72
33,72
34,73
35,74
40,93
41,93
42,93
43,93
44,94
45,94
46,94
47,95
48,94
49,94
50,94
51,94
52,93
53,92
54,91
55,91
56,90
57,89
58,82
59,81
60,79
61,74
62,71
63,68
64,65
65,62
66,60
67,58
68,57
69,56
70,54
71,53
72,52
73,51
74,48
75,43
76,43
77,41
78,40
79,37
80,32
81,26
82,25
83,25
84,24
85,24
86,24
87,24
88,24
89,25
90,25
91,25
92,26
93,26
94,27
95,28
96,29
97,30
98,31
99,34
100,35
101,51
102,54
103,56
104,57
105,59
106,60
107,62
108,63
109,64
110,65
111,66
112,67
113,68
114,68
115,69
116,84
117,86
118,87
119,88
120,89
121,89
122,90
123,90
124,91
125,91
126,91
127,91
128,92
129,92
130,92
131,93
132,93
133,93
134,93
135,93
136,93
137,93
138,93
139,92
140,92
141,92
142,91
143,91
144,90
145,90
146,90
147,89
148,88
149,88
150,87
151,86
152,85
153,84
154,84
155,84
156,83
157,78
158,77
159,74
160,65
161,62
162,59
163,57
164,56
165,54
166,53
167,52
168,51
169,49
170,48
171,47
172,46
173,45
174,34
175,25
176,24
177,24
178,24
179,24
180,24
181,24
182,24
183,24
184,24
185,25
186,25
187,25
188,26
189,27
190,28
191,29
192,31
193,32
194,34
195,34
196,35
197,36
198,37
199,49
200,54
201,56
202,57
203,59
204,60
205,61
206,62
207,62
208,63
209,64
210,65
211,67
212,80
213,82
214,83
215,83
216,84
217,85
218,86
219,87
220,87
221,88
222,88
223,89
224,89
225,89
226,89
227,89
228,89
229,89
230,88
231,88
232,88
233,88
234,88
235,88
236,88
237,88
238,88
239,88
240,87
241,87
242,87
243,87
244,87
245,86
246,85
247,85
248,84
249,83
250,82
251,81
252,74
253,69
254,68
255,67
256,65
257,57
258,55
259,55
260,53
261,50
262,49
263,48
264,46
265,44
266,43
267,42
268,40
269,39
270,38
271,36
272,34
273,21
274,21
275,20
276,20
277,20
278,21
279,21
280,21
281,21
282,22
283,22
284,23
285,24
286,24
287,25
288,26
289,27
290,28
291,29
292,31
293,32
294,33
295,35
296,35
297,36
298,37
299,37
300,37
301,38
302,42
303,45
304,48
305,49
306,50
307,52
308,52
309,52
310,52
312,72
313,73
314,73
315,73
316,74
317,74
318,74
319,74
320,74
328,88
329,88
330,88
331,88
332,88
333,88
