x,y
67,180
68,179
69,178
70,177
71,176
72,176
73,175
74,175
75,174
76,174
77,174
78,174
79,173
80,173
81,172
82,172
83,171
84,171
85,170
86,168
87,167
88,166
89,166
90,165
91,165
92,164
93,163
94,162
95,159
96,157
97,156
98,155
99,154
100,153
101,152
102,152
103,150
104,147
105,144
106,142
107,141
108,140
109,139
110,138
111,137
112,136
113,134
114,132
115,131
116,129
117,127
118,126
119,124
120,123
121,121
122,119
123,117
124,114
125,110
126,108
127,105
128,103
129,101
130,100
131,98
132,96
133,92
134,90
135,87
136,82
137,79
138,77
139,76
140,75
141,74
142,72
143,70
144,68
145,65
146,59
147,55
148,54
149,53
150,52
151,51
152,50
153,49
154,47
155,45
156,44
157,43
158,42
159,41
160,40
161,39
162,37
163,35
164,32
165,31
166,30
167,29
168,29
169,28
170,28
171,27
172,25
173,22
174,20
175,19
176,19
177,19
178,19
179,19
180,20
181,20
182,21
183,22
184,23
185,27
186,29
187,31
188,33
189,34
190,35
191,37
192,38
193,40
194,41
195,44
196,49
197,51
198,53
199,54
200,56
201,57
202,59
203,62
204,64
205,67
206,69
207,71
208,73
209,75
210,76
211,77
212,78
213,80
214,82
215,84
216,86
217,89
218,92
219,93
220,95
221,96
222,98
223,101
224,104
225,108
226,112
227,115
228,117
229,118
230,119
231,120
232,121
233,122
234,124
235,126
236,129
237,131
238,133
239,134
240,135
241,136
242,138
243,140
244,143
245,144
246,145
247,145
248,145
249,146
250,146
251,147
252,149
253,153
254,158
255,159
256,161
257,162
258,163
259,164
260,165
261,167
262,168
263,168
264,169
265,168
266,168
267,167
268,167
269,166
270,166
271,165
272,164
273,163
274,162
275,161
276,159
277,156
278,152
279,149
280,148
281,147
282,146
283,146
284,145
285,145
286,144
287,143
288,141
289,138
290,137
291,136
292,134
293,133
294,131
295,129
296,126
297,123
298,122
299,121
300,120
301,118
302,116
303,114
304,109
305,105
306,101
307,98
308,96
309,94
310,92
311,91
312,87
313,84
314,81
315,77
316,74
317,71
318,68
319,66
320,64
321,63
322,61
323,59
324,55
325,53
326,52
327,51
328,49
329,48
330,47
331,45
332,42
333,40
334,38
335,37
336,36
337,34
338,33
339,32
340,30
341,29
342,28
343,28
344,27
345,26
346,26
347,26
348,26
349,26
350,26
351,27
352,29
353,32
354,36
355,44
356,47
357,49
358,51
359,53
360,54
361,56
362,59
363,61
364,64
365,68
366,71
367,76
368,81
369,87
370,91
371,92
372,94
373,95
374,96
375,97
376,98
377,99
378,99
379,100
380,100
381,101
382,102
383,103
384,103
385,103
386,104
387,104
388,105
389,106
390,106
391,107
392,108
393,111
394,115
395,121
396,125
397,128
398,129
399,131
400,132
401,135
402,138
403,141
404,147
405,150
406,151
407,152
408,153
409,155
410,157
411,162
412,165
413,168
414,169
415,170
416,170
417,170
418,170
419,170
420,169
421,169
422,169
423,168
424,167
425,165
426,163
427,162
428,161
429,161
430,160
431,159
432,158
433,158
434,156
435,155
436,154
437,152
438,151
439,150
440,149
441,147
442,146
443,146
444,145
445,144
446,143
447,141
448,139
449,137
450,136
451,134
452,133
453,132
454,130
455,129
456,127
457,125
458,123
459,122
460,120
461,118
462,116
463,113
464,109
465,106
466,103
467,100
468,99
469,97
470,96
471,94
472,92
473,89
474,87
475,84
476,81
477,79
478,77
479,75
480,74
481,72
482,70
483,68
484,65
485,62
486,59
487,58
488,56
489,55
490,54
491,52
492,50
493,47
494,46
495,45
496,44
497,44
498,43
499,42
500,41
501,40
502,39
503,38
504,37
505,36
506,34
507,33
508,32
509,30
510,30
511,29
512,28
513,26
514,24
515,23
516,22
517,22
518,22
519,22
520,23
521,24
522,25
523,26
524,27
525,29
526,32
527,36
528,41
529,44
530,46
531,48
532,49
533,51
534,52
535,55
536,58
537,62
538,64
539,66
540,68
541,69
542,71
543,74
544,77
545,80
546,83
547,86
548,87
549,88
550,90
551,91
552,92
553,94
554,98
555,101
556,102
557,103
558,103
559,104
560,105
561,105
562,107
563,109
564,112
565,115
566,118
567,119
568,120
569,120
570,121
571,123
572,125
573,128
574,133
575,136
576,138
577,139
578,140
579,141
580,143
581,147
582,149
583,150
584,153
585,162
586,164
587,165
588,167
589,167
590,168
591,168
592,168
593,168
594,168
595,168
596,168
597,167
598,167
599,166
600,165
601,164
602,163
603,162
604,159
605,157
606,156
607,155
608,155
609,154
610,153
611,153
612,152
613,151
614,150
615,149
616,147
617,145
618,142
619,141
620,141
621,140
622,138
623,137
624,135
625,133
626,131
627,130
628,128
629,126
630,124
631,122
632,120
633,118
634,115
635,111
636,108
637,106
638,104
639,103
640,102
641,99
642,98
643,94
644,91
645,88
646,86
647,83
648,81
649,79
650,77
651,75
652,74
653,71
654,69
655,66
656,62
657,60
658,58
659,57
660,55
661,52
662,50
663,48
664,46
665,45
666,44
667,43
668,42
669,41
670,40
671,40
672,38
673,37
674,36
675,34
676,32
677,31
678,30
679,29
680,29
681,28
682,27
683,26
684,24
685,22
686,21
687,21
688,20
689,20
690,20
691,20
692,21
693,21
694,23
695,25
696,29
697,32
698,34
699,35
700,36
701,37
702,38
703,39
704,42
705,47
706,49
707,50
708,51
709,53
710,55
711,56
712,58
713,60
714,64
715,67
716,72
717,76
718,77
719,80
720,82
721,83
722,85
723,87
724,89
725,91
726,95
727,98
728,102
729,104
730,106
731,108
732,110
733,112
734,115
735,118
736,123
737,124
738,125
739,126
740,128
741,129
742,132
743,133
744,135
745,137
746,139
747,140
748,141
749,141
750,142
751,143
752,144
753,145
754,148
755,155
756,157
757,158
758,159
759,160
760,161
761,162
762,164
763,164
764,159
765,162
766,164
767,164
768,157
769,156
770,156
771,158
772,164
773,168
774,170
775,168
776,166
777,164
778,162
779,161
780,159
781,158
782,157
783,155
784,153
785,151
786,150
787,149
788,148
789,147
790,146
791,145
792,144
793,143
794,142
795,139
796,137
797,136
798,135
799,134
800,133
801,132
802,131
803,129
804,125
805,123
806,121
807,118
808,116
809,114
810,112
811,110
812,106
813,103
814,101
815,98
816,94
817,91
818,88
819,86
820,84
