x,y
12,110
13,115
14,117
15,118
16,118
17,118
18,119
19,119
20,119
21,120
22,120
23,120
24,120
25,120
26,120
27,120
28,119
29,119
30,118
31,117
32,117
33,117
34,115
35,115
36,113
37,112
38,111
39,110
40,109
41,107
42,106
43,104
44,102
45,101
46,99
47,97
48,95
49,93
50,91
51,90
52,89
53,87
54,86
55,81
56,79
57,76
58,73
59,72
60,70
61,68
62,65
63,59
64,54
65,50
66,48
67,47
68,46
69,44
70,42
71,18
72,15
73,14
74,14
75,13
76,13
77,13
78,13
79,13
80,13
81,14
82,19
83,19
84,20
85,22
86,35
87,50
88,53
89,54
90,56
91,58
92,64
93,74
94,75
95,77
96,80
97,82
98,84
99,86
100,88
101,91
102,93
103,98
104,101
105,102
106,104
107,105
108,107
109,109
110,110
111,112
112,115
113,115
114,116
115,116
116,117
117,116
118,116
119,117
120,116
121,116
122,116
123,115
124,115
125,114
126,113
127,112
128,111
129,109
130,102
131,98
132,97
133,96
134,94
135,92
136,94
137,93
138,93
139,92
140,90
141,86
142,83
143,80
144,79
145,78
146,75
147,71
148,65
149,59
150,55
151,51
152,48
153,47
154,46
155,41
156,31
157,28
158,19
159,17
160,16
161,13
162,11
163,11
164,11
165,13
166,16
167,24
168,26
169,34
170,54
171,60
172,65
173,71
174,73
175,74
176,76
177,78
178,79
179,81
180,83
181,84
182,86
183,87
184,88
185,90
186,100
187,107
188,113
189,114
190,114
191,111
192,111
193,110
194,112
195,117
196,120
197,121
198,121
199,121
200,121
201,121
202,121
203,121
204,121
205,120
206,120
207,120
208,119
209,118
210,118
211,117
212,116
213,115
214,114
215,113
216,112
217,111
218,104
219,97
220,94
221,93
222,91
223,90
224,88
225,87
226,84
227,84
228,84
229,83
230,81
231,78
232,71
233,66
234,62
235,59
236,57
237,55
238,53
239,51
240,49
241,46
242,44
243,42
244,37
245,30
246,27
247,23
248,13
249,12
250,11
251,10
252,10
253,14
254,16
255,16
256,11
257,12
258,40
259,49
260,55
261,60
262,64
263,71
264,75
265,78
266,82
267,85
268,86
269,88
270,89
271,92
272,95
273,97
274,99
275,105
276,114
277,114
278,114
279,115
280,115
281,115
282,115
283,121
284,122
285,123
286,123
287,124
288,124
289,124
290,124
291,124
292,124
293,124
294,123
295,121
296,120
297,118
298,117
299,116
300,115
301,114
302,112
303,109
304,105
305,101
306,100
307,99
308,98
309,98
310,97
311,96
312,96
313,95
314,89
315,86
316,80
317,74
318,69
319,62
320,57
321,55
322,52
323,51
324,49
325,48
326,46
327,45
328,44
329,42
330,40
331,26
332,23
333,15
334,8
335,8
336,9
337,9
338,14
339,16
340,46
341,56
342,57
343,59
344,61
345,65
346,68
347,71
348,75
349,79
350,83
351,87
352,93
353,95
354,97
355,99
356,101
357,104
358,106
359,107
360,108
361,109
362,111
363,121
364,122
365,123
366,123
367,124
368,124
369,124
370,124
371,124
372,124
373,123
374,123
375,122
376,122
377,122
378,121
379,121
380,120
381,119
382,118
383,116
384,115
385,113
386,111
387,109
388,105
389,98
390,96
391,93
392,90
393,88
394,88
395,86
396,86
397,85
398,85
399,89
400,84
401,78
402,68
403,62
404,58
405,56
406,54
407,50
408,48
409,47
410,47
411,45
412,44
413,42
414,40
415,31
416,25
417,24
418,23
419,22
420,22
421,22
422,22
423,23
424,24
425,25
426,36
427,42
428,50
429,52
430,59
431,64
432,68
433,72
434,80
435,85
436,86
437,91
438,93
439,95
440,102
441,105
442,105
443,106
444,106
445,107
446,107
447,108
448,109
449,112
450,116
451,117
452,120
453,121
454,122
455,122
456,122
457,122
458,122
459,122
460,122
461,122
462,121
463,121
464,120
465,120
466,119
467,119
468,118
469,117
470,116
471,114
472,101
473,98
474,95
475,94
476,92
477,90
478,89
479,89
480,88
481,87
482,85
483,82
484,79
485,76
486,74
487,72
488,70
489,64
490,59
491,55
492,53
493,51
494,50
495,51
496,50
497,56
498,55
499,50
500,28
501,21
502,19
503,17
504,16
505,16
506,17
507,17
508,19
509,24
510,28
511,30
512,41
513,50
514,57
515,61
516,68
517,71
518,73
519,74
520,76
521,84
522,88
523,89
524,90
525,92
526,93
527,94
528,95
529,98
530,106
531,106
532,107
533,107
534,108
535,109
536,110
537,111
538,112
539,114
540,116
541,119
542,122
543,122
544,122
545,122
546,122
547,122
548,122
549,122
550,122
551,122
552,123
553,124
554,126
