x,y
38,167
39,166
40,167
41,166
42,166
43,166
44,165
45,164
46,164
47,163
48,163
49,162
50,161
51,161
52,160
53,160
54,159
55,158
56,157
57,156
58,155
59,154
60,153
61,152
62,150
63,149
64,148
65,147
66,147
67,146
68,145
69,145
70,144
71,142
72,142
73,140
74,140
75,140
76,139
77,138
78,137
79,134
80,132
81,132
82,130
83,129
84,128
85,127
86,125
87,123
88,122
89,121
90,120
91,119
92,119
93,118
94,116
95,114
96,112
97,111
98,109
99,108
100,106
101,104
102,102
103,100
104,98
105,96
106,94
107,92
108,90
109,87
110,84
111,82
112,81
113,79
114,78
115,76
116,74
117,71
118,68
119,66
120,64
121,63
122,61
123,58
124,56
125,53
126,52
127,48
128,47
129,46
130,46
131,46
132,46
133,46
134,46
135,46
136,47
137,47
138,48
139,49
140,50
141,50
142,51
143,53
144,57
145,59
146,60
147,61
148,62
149,63
150,63
151,64
152,65
153,66
154,66
155,68
156,70
157,71
158,71
159,72
160,73
161,75
162,76
163,77
164,77
165,78
166,78
167,78
168,78
169,78
170,78
171,78
172,79
173,86
174,89
175,91
176,92
177,94
178,95
179,95
180,96
181,97
182,98
183,100
184,104
185,105
186,106
187,107
188,108
189,110
190,111
191,114
192,116
193,118
194,123
195,124
196,126
197,128
198,129
199,131
200,132
201,133
202,135
203,136
204,137
205,138
206,139
207,140
208,141
209,142
210,144
211,145
212,147
213,148
214,149
215,150
216,151
217,152
218,153
219,154
220,154
221,155
222,156
223,156
224,156
225,157
226,158
227,158
228,159
229,159
230,160
231,161
232,162
233,162
234,163
235,163
236,163
237,163
238,163
239,164
240,163
241,163
242,163
243,163
244,163
245,163
246,163
247,163
248,163
249,162
250,162
251,162
252,161
253,161
254,161
255,160
256,160
257,159
258,158
259,157
260,157
261,156
262,156
263,155
264,155
265,154
266,154
267,153
268,152
269,152
270,151
271,150
272,149
273,148
274,147
275,146
276,145
277,144
278,143
279,142
280,141
281,140
282,138
283,136
284,135
285,133
286,132
287,130
288,130
289,129
290,128
291,126
292,125
293,125
294,124
295,122
296,122
297,119
298,118
299,116
300,115
301,114
302,112
303,111
304,109
305,107
306,106
307,104
308,101
309,100
310,99
311,97
312,96
313,93
314,91
315,89
316,88
317,87
318,85
319,84
320,82
321,80
322,78
323,75
324,73
325,71
326,69
327,67
328,66
329,64
330,62
331,59
332,55
333,53
334,52
335,51
336,50
337,48
338,46
339,44
340,43
341,41
342,42
343,41
344,42
345,42
346,43
347,43
348,44
349,44
350,45
351,45
352,46
353,48
354,49
355,51
356,54
357,57
358,60
359,62
360,63
361,64
362,64
363,65
364,65
365,65
366,66
367,66
368,66
369,67
370,68
371,68
372,69
373,70
374,70
375,72
376,73
377,74
378,74
379,74
380,74
381,75
382,75
383,75
384,75
385,75
386,76
387,76
388,82
389,87
390,88
391,90
392,91
393,92
394,93
395,94
396,96
397,97
398,101
399,102
400,103
401,105
402,107
403,109
404,110
405,113
406,114
407,116
408,118
409,120
410,123
411,125
412,126
413,127
414,129
415,130
416,132
417,133
418,134
419,135
420,136
421,137
422,138
423,139
424,139
425,140
426,141
427,142
428,144
429,145
430,146
431,147
432,148
433,148
434,149
435,152
436,154
437,154
438,155
439,155
440,155
441,156
442,156
443,156
444,157
445,157
446,157
447,158
448,158
449,158
450,158
451,158
452,159
453,159
454,159
455,159
456,159
457,158
458,158
459,158
460,158
461,157
462,157
463,156
464,155
465,155
466,154
467,153
468,153
469,153
470,152
471,151
472,150
473,149
474,148
475,147
476,147
477,147
478,146
479,145
480,144
481,143
482,142
483,141
484,140
485,139
486,138
487,137
488,136
489,135
490,135
491,134
492,133
493,133
494,132
495,131
496,129
497,128
498,127
499,126
500,125
501,124
502,123
503,122
504,120
505,118
506,116
507,115
508,113
509,112
510,110
511,109
512,107
513,105
514,104
515,103
516,102
517,100
518,99
519,96
520,93
521,91
522,90
523,89
524,88
525,86
526,85
527,82
528,80
529,78
530,76
531,74
532,73
533,70
534,67
535,65
536,63
537,62
538,60
539,59
540,58
541,55
542,54
543,53
544,51
545,49
546,48
547,47
548,46
549,43
550,42
551,41
552,41
553,42
554,43
555,43
556,44
557,45
558,45
559,47
560,48
561,54
562,56
563,57
564,58
565,59
566,59
567,60
568,61
569,62
570,63
571,64
572,65
573,65
574,66
575,66
