x,y
6,106
7,106
8,107
9,107
10,107
11,107
12,107
13,108
14,109
15,110
16,111
17,112
18,112
19,113
20,113
21,113
22,114
23,114
24,114
25,115
26,115
27,116
28,117
29,117
30,118
31,119
32,119
33,120
34,121
35,121
36,122
37,122
38,122
39,122
40,123
41,123
42,123
43,123
44,124
45,124
46,124
47,124
48,124
49,124
50,123
51,123
52,123
53,122
54,122
55,121
56,120
57,119
58,119
59,118
60,118
61,116
62,116
63,114
64,110
65,109
66,107
67,106
68,105
69,104
70,102
71,100
72,99
73,97
74,94
75,93
76,91
77,90
78,88
79,88
80,86
81,85
82,84
83,82
84,80
85,78
86,77
87,75
88,74
89,73
90,71
91,70
92,67
93,65
94,63
95,61
96,60
97,58
98,57
99,56
100,54
101,52
102,51
103,49
104,48
105,46
106,45
107,44
108,42
109,41
110,39
111,38
112,36
113,35
114,33
115,33
116,31
117,31
118,30
119,29
120,28
121,26
122,19
123,18
124,18
125,17
126,17
127,17
128,17
129,17
130,18
131,18
132,18
133,19
134,20
135,21
136,22
137,23
138,24
139,24
140,25
141,26
142,27
143,29
144,31
145,33
146,35
147,36
148,37
149,38
150,38
151,38
152,39
153,40
154,40
155,41
156,42
157,42
158,43
159,43
160,45
161,46
162,47
163,48
164,49
165,50
166,51
167,52
168,52
169,54
170,55
171,57
172,59
173,62
174,64
175,67
176,68
177,70
178,71
179,73
180,74
181,75
182,77
183,79
184,80
185,82
186,83
187,84
188,85
189,86
190,87
191,88
192,90
193,91
194,92
195,94
196,95
197,97
198,98
199,99
200,101
201,104
202,106
203,107
204,108
205,110
206,111
207,113
208,115
209,117
210,119
211,120
212,120
213,121
214,122
215,122
216,122
217,123
218,123
219,124
220,125
221,126
222,126
223,127
224,127
225,127
226,128
227,128
228,129
229,129
230,129
231,129
232,129
233,130
234,130
235,129
236,129
237,130
238,130
239,129
240,129
241,129
242,128
243,128
244,127
245,127
246,126
247,126
248,125
249,124
250,124
251,123
252,122
253,122
254,121
255,121
256,121
257,120
258,120
259,119
260,118
261,117
262,115
263,114
264,113
265,112
266,112
267,111
268,110
269,110
270,108
271,105
272,103
273,102
274,101
275,100
276,98
277,97
278,95
279,93
280,91
281,88
282,86
283,85
284,83
285,81
286,79
287,77
288,76
289,74
290,72
291,70
292,68
293,66
294,65
295,63
296,62
297,60
298,59
299,58
300,56
301,54
302,53
303,51
304,50
305,48
306,45
307,43
308,41
309,40
310,39
311,38
312,37
313,36
314,35
315,34
316,32
317,28
318,22
319,19
320,19
321,18
322,18
323,17
324,17
325,17
326,17
327,18
328,18
329,19
330,20
331,21
332,21
333,22
334,23
335,24
336,25
337,27
338,29
339,30
340,31
341,33
342,33
343,35
344,36
345,36
346,38
347,38
348,39
349,40
350,41
351,43
352,43
353,44
354,45
355,46
356,47
357,47
358,47
359,48
360,49
361,49
362,50
363,51
364,52
365,53
366,55
367,57
368,60
369,61
370,64
371,67
372,67
373,68
374,69
375,70
376,71
377,71
378,72
379,74
380,75
381,76
382,78
383,79
384,80
385,81
386,82
387,82
388,84
389,85
390,87
391,88
392,89
393,91
394,92
395,93
396,95
397,96
398,97
399,98
400,100
401,101
402,102
403,103
404,105
405,108
406,110
407,112
408,115
409,116
410,116
411,118
412,118
413,118
414,119
415,120
416,121
417,122
418,123
419,125
420,126
421,126
422,127
423,128
424,129
425,130
426,131
427,131
428,131
429,132
430,132
431,133
432,133
433,133
434,134
435,133
436,134
437,134
438,135
439,135
440,136
441,137
442,137
443,137
444,137
445,137
446,136
447,136
448,136
449,135
450,135
451,134
452,134
453,134
454,133
455,133
456,132
457,131
458,131
459,130
460,129
461,128
462,128
463,127
464,126
465,125
466,124
467,124
468,123
469,122
470,122
471,121
472,120
473,119
474,119
475,118
476,117
477,116
478,112
479,110
480,109
481,107
482,106
483,104
484,102
485,99
486,96
487,93
488,90
489,89
490,87
491,86
492,84
493,82
494,79
495,77
496,74
497,71
498,70
499,67
500,66
501,65
502,63
503,62
