x,y
18,119
19,121
20,122
21,123
22,123
23,123
24,123
25,124
26,124
27,124
28,124
29,125
30,125
31,125
32,125
33,124
34,125
35,125
36,125
37,125
38,125
39,126
40,126
41,126
42,126
43,125
44,125
45,125
46,124
47,123
48,123
49,123
50,122
51,122
52,122
53,121
54,120
55,120
56,120
57,119
58,119
59,118
60,116
61,116
62,115
63,113
64,110
65,107
66,106
67,105
68,102
69,99
70,98
71,97
72,96
73,94
74,93
75,91
76,89
77,87
78,83
79,81
80,78
81,77
82,75
83,73
84,70
85,65
86,63
87,61
88,61
89,61
90,60
91,58
92,57
93,54
94,51
95,50
96,49
97,48
98,47
99,46
100,45
101,44
102,44
103,43
104,44
105,44
106,44
107,46
108,48
109,49
110,50
111,52
112,53
113,55
114,57
115,61
116,62
117,63
118,63
119,63
120,63
121,64
122,64
123,66
124,68
125,70
126,71
127,72
128,71
129,71
130,71
131,71
132,72
133,72
134,73
135,73
136,73
137,73
138,74
139,74
140,75
141,76
142,78
143,79
144,81
145,82
146,85
147,86
148,88
149,89
150,89
151,90
152,91
153,94
154,95
155,96
156,98
157,99
158,100
159,100
160,101
161,102
162,105
163,106
164,107
165,109
166,110
167,111
168,112
169,113
170,113
171,113
172,113
173,113
174,114
175,114
176,114
177,115
178,115
179,116
180,117
181,119
182,120
183,120
184,121
185,121
186,122
187,121
188,121
189,121
190,121
191,122
200,120
201,120
202,121
203,121
204,121
205,121
206,121
207,121
208,121
209,121
210,121
211,121
212,121
213,121
214,120
215,119
216,117
217,115
218,113
219,113
220,113
221,113
222,112
223,112
224,112
225,112
226,111
227,111
228,110
229,110
230,109
231,108
232,107
233,105
234,103
235,101
236,99
237,98
238,97
239,96
240,96
241,96
242,95
243,94
244,90
245,85
246,84
247,81
248,81
249,79
250,76
251,74
252,66
253,65
254,64
255,62
256,59
257,55
258,53
259,48
260,47
261,47
262,48
263,49
264,49
265,49
266,49
267,49
268,50
269,50
270,49
271,45
272,45
273,47
274,49
275,52
276,54
277,57
278,59
279,60
280,61
281,62
282,63
283,63
284,64
