x,y
0,83
1,83
2,83
3,84
4,84
5,84
6,84
7,84
8,84
9,84
10,84
11,84
12,84
13,85
14,85
15,84
16,85
17,85
18,85
19,85
20,85
21,85
22,85
23,85
24,85
25,85
26,85
27,85
28,85
29,85
30,86
31,86
32,86
55,57
56,57
57,56
58,57
59,57
60,57
61,58
62,58
79,48
80,48
81,48
82,48
83,48
84,48
85,48
92,16
93,16
94,16
95,16
96,17
97,19
98,20
99,21
100,22
101,22
102,22
103,23
104,24
105,24
106,24
107,24
108,25
109,25
110,26
111,27
115,38
116,37
117,38
118,38
119,38
120,38
121,38
122,39
159,86
160,86
161,85
162,85
163,85
164,85
165,85
166,84
167,84
168,84
169,84
170,83
171,82
172,81
173,80
174,80
175,80
176,82
177,83
178,84
179,84
180,84
181,84
182,84
192,84
193,84
194,83
195,84
196,83
197,83
198,83
199,83
200,83
201,84
202,84
203,84
204,84
205,85
206,85
207,85
208,84
209,84
210,84
211,84
212,84
213,84
214,84
215,85
216,85
217,85
218,85
219,85
220,85
221,84
222,84
223,84
224,84
225,83
226,83
227,83
228,82
229,82
230,82
231,81
232,80
233,78
234,77
235,77
236,77
237,78
238,78
239,80
240,82
241,82
242,83
243,83
244,83
245,83
246,83
247,83
248,83
249,82
250,81
251,80
252,79
253,78
254,77
255,76
256,75
257,74
258,73
259,73
260,73
261,73
262,73
276,64
277,64
278,63
279,63
280,64
281,63
288,56
289,56
290,56
291,55
292,55
293,55
294,54
295,54
296,54
297,54
298,54
299,55
307,33
308,23
309,22
310,23
311,22
312,20
313,22
314,22
315,22
316,23
317,23
318,24
319,24
320,24
321,24
322,24
323,25
324,25
325,25
326,25
327,26
328,27
329,30
330,31
331,32
332,33
333,34
334,35
335,35
336,35
337,36
338,36
339,36
359,53
360,53
361,53
362,53
363,53
364,53
365,53
366,53
367,54
368,54
369,54
370,55
371,54
372,53
373,52
378,70
379,71
380,71
381,72
382,72
383,72
384,74
385,75
386,76
387,75
388,75
389,75
390,76
391,77
392,77
393,77
394,78
395,78
396,79
397,80
398,78
399,77
400,77
401,76
402,77
403,78
404,79
405,79
406,80
407,80
408,82
409,83
410,83
411,83
412,84
413,84
414,83
415,83
416,81
417,80
434,82
435,83
436,83
437,84
438,84
439,84
440,83
441,83
442,84
443,84
444,84
445,84
446,84
447,84
448,83
449,82
454,86
455,86
456,86
457,86
458,86
459,86
460,87
461,86
466,72
467,72
468,73
469,72
470,72
471,71
472,70
473,69
474,69
475,67
476,66
477,65
478,64
479,63
480,62
481,62
482,61
483,60
484,60
485,60
486,60
487,59
488,60
489,60
490,61
491,63
507,45
508,49
509,50
510,50
511,50
512,48
513,45
514,46
518,28
519,28
520,27
521,27
522,27
523,26
524,26
525,24
526,23
527,21
528,20
529,19
530,19
531,18
532,18
533,19
534,19
535,19
536,19
537,19
538,20
539,22
540,23
541,24
542,25
543,25
544,26
545,26
546,26
547,27
548,32
549,34
550,40
551,41
552,42
553,42
554,42
555,42
556,42
557,42
558,42
559,42
560,42
561,41
562,42
563,41
574,64
575,64
576,64
577,64
578,64
579,64
580,64
581,65
582,65
583,68
584,69
585,70
586,70
589,79
590,79
591,79
592,79
593,79
594,79
595,79
596,79
597,78
598,79
599,77
603,87
604,81
605,78
606,79
607,79
608,79
609,79
610,81
611,86
612,86
613,86
614,86
615,87
616,87
617,87
618,86
619,86
620,86
621,86
622,86
623,86
624,86
625,86
626,86
627,86
628,86
629,86
630,87
631,87
636,87
637,87
638,86
639,86
640,86
641,86
642,86
643,86
644,86
645,87
646,87
647,87
648,87
649,87
650,87
651,86
652,86
653,86
654,86
655,86
656,85
657,85
658,85
659,84
660,83
661,83
662,82
663,81
664,80
665,80
666,79
667,79
668,79
669,79
671,79
672,79
673,78
674,78
675,78
676,78
677,78
678,78
679,78
684,79
685,80
686,79
687,80
688,81
689,81
690,81
691,80
692,80
693,80
694,79
695,78
696,77
697,76
698,75
699,75
700,74
701,74
702,73
703,73
704,73
705,74
706,74
707,76
708,77
