x,y
31,121
32,121
33,122
34,122
35,122
36,122
37,122
38,128
39,130
40,131
41,131
42,131
43,131
44,130
45,130
46,126
47,125
48,124
49,123
50,122
51,122
52,121
53,120
54,119
55,119
56,118
57,117
58,116
59,115
60,114
61,113
62,111
63,110
64,109
65,108
66,107
67,106
68,106
69,105
70,104
71,103
72,102
73,101
74,99
75,99
76,99
77,99
78,100
79,100
80,100
81,99
82,97
83,95
84,93
85,91
86,90
87,88
88,81
89,75
90,72
91,69
92,66
93,65
94,65
95,64
96,64
97,64
98,63
99,63
100,62
101,55
102,53
103,53
104,50
105,49
106,48
107,47
108,46
109,44
110,41
111,40
112,38
113,36
114,35
115,32
116,29
117,29
118,29
119,28
120,28
121,28
122,27
123,27
124,26
125,26
126,25
127,24
128,22
129,21
130,20
131,17
132,11
133,10
134,9
135,9
136,9
137,9
138,9
139,9
140,9
141,9
142,9
143,9
144,9
145,9
146,10
147,10
148,10
149,10
150,10
151,11
152,11
153,17
154,33
155,37
156,40
157,39
158,40
159,41
160,40
161,39
162,36
163,35
164,31
165,32
166,33
167,34
168,37
169,46
170,50
171,55
172,57
173,58
174,60
175,62
176,64
177,65
178,65
179,66
180,69
181,93
182,94
183,96
184,97
185,98
186,100
187,101
188,103
189,106
190,110
191,114
192,115
193,117
194,119
195,120
196,121
197,123
198,124
199,125
200,126
201,126
202,126
203,127
204,126
205,127
206,127
207,127
208,128
209,128
210,128
211,128
212,128
213,127
214,127
215,127
216,126
217,126
218,125
219,125
220,131
221,134
222,134
223,135
224,135
225,134
226,134
227,134
228,134
229,134
230,133
231,133
232,133
233,132
234,130
235,128
236,117
237,116
238,115
239,114
240,112
241,110
242,107
243,104
244,103
245,105
246,106
247,104
248,101
249,96
250,88
251,79
252,62
253,58
254,57
255,56
256,55
257,54
258,53
259,52
260,51
261,51
262,50
263,49
264,48
265,47
266,46
267,43
268,39
269,30
270,21
271,20
272,20
273,20
274,19
275,19
276,18
277,17
278,15
279,13
280,12
281,11
282,11
283,10
284,10
285,16
286,24
287,27
288,26
289,26
290,22
291,8
292,8
293,14
294,15
295,17
296,17
297,17
298,15
299,15
300,12
301,8
302,8
303,8
304,8
305,8
306,9
307,9
308,9
309,9
310,9
311,10
312,10
313,11
314,17
315,22
316,24
317,26
318,28
319,29
320,30
321,32
322,32
323,33
324,33
325,34
326,34
327,34
328,34
329,35
330,35
331,41
332,45
333,46
334,51
335,52
336,54
337,55
338,57
339,59
340,61
341,59
342,67
343,87
344,93
345,94
346,96
347,97
348,99
349,100
350,101
351,101
352,102
353,103
354,104
355,105
356,106
357,108
358,110
359,112
360,113
361,114
362,115
363,116
364,117
365,118
366,119
367,119
368,120
369,120
370,120
371,120
372,120
373,120
374,120
375,120
376,120
377,120
378,120
379,120
380,120
381,120
382,120
383,120
384,120
385,120
386,120
387,120
388,120
389,120
390,120
391,120
392,119
393,119
394,118
395,118
396,118
397,117
398,116
399,116
400,115
401,114
402,113
403,112
404,111
405,110
406,109
407,107
408,102
409,97
410,94
411,92
412,90
413,88
414,86
415,82
416,79
417,67
418,57
419,56
420,55
421,54
422,53
423,53
424,52
425,51
426,50
427,49
428,39
429,37
430,35
431,33
432,30
433,28
434,25
435,23
436,21
437,19
438,17
439,15
440,14
441,13
442,12
443,12
444,11
445,10
446,9
447,8
448,8
449,8
450,8
451,7
452,7
453,7
454,7
455,7
456,7
457,7
458,7
459,7
460,15
461,16
462,19
463,16
464,17
465,13
466,7
467,7
468,7
469,7
470,8
471,8
472,8
473,9
474,17
475,21
476,23
477,24
478,25
479,26
480,27
481,28
482,29
483,30
484,30
485,31
486,32
487,32
488,33
489,35
490,36
491,38
492,40
493,42
494,44
495,45
496,47
497,50
498,53
499,56
500,60
501,64
502,71
503,81
504,83
505,83
506,84
507,86
508,87
509,89
510,90
511,91
512,93
513,95
514,97
515,102
516,105
517,108
518,109
519,111
520,112
521,113
522,113
523,115
524,115
525,116
526,116
527,117
528,117
529,118
530,118
531,118
532,118
533,119
534,119
535,119
536,119
537,119
538,119
539,119
540,120
541,123
542,125
543,125
544,124
545,121
546,119
547,119
548,118
549,117
550,116
